separate by |",separate by |,Could be done programmatically,,,,,Working notes,
original-fr 640-spelling,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,"Modern form or spelling, even if meaning has changed","Part of speech (n., v., adj., adv.)",Reference or further notes,Reference link,Annotation id,"Questions, observations, examples, references",Folio,Entry ID,Entry heading,Synonym in this glossary,Antonym in this glossary,"""See also"" - other entry",Convert to editorial comment (or pull out partial comment) - Y / N,Editors notes,Uncertain
Foeu de chasse,,,"violent fire (i.e. which is blown up into live flames. ""En termes de Chymie, on appelle feu de chasse, un feu violent, quand on a ouvert tous les registres d’un fourneau. Delaulne, Dictionnaire universel, 1721.)",,feu de chasse,n.(m),"Delaulne, Dictionnaire universel, 1721",http://books.google.com/books?id=KIQ-AAAAcAAJ&pg=PT855&lpg=PT855&dq=%22feu+de+chasse%22&source=bl&ots=WOV6YMWjre&sig=WzowcyPED8hrwW5DrDKJiM5fDtQ&hl=fr&sa=X&ei=v-ieU6OOO_TNsQSY1oKwDg&ved=0CDAQ6AEwAzgU#v=onepage&q=%22feu%20de%20chasse%22&f=false,,,,,,,,,,,
Foeu de flamme,,,open flame,,,n.(m),,,,,,,,,,,,,
Foeuille,,1,"leaf, petal (of a plant)",,,n.(f),,,,,,,,,,,,,
Foeuille,,2,"foil, foil backing (jewellery)",,,n.(f),"See Joanna Whalley, “Faded Glory: Gemstone Simulants and Enhancements,” Studies in Conservation 57, no. sup1 (2012): S313–21",https://doi.org/10.1179/2047058412Y.0000000041,,,,,,,,,,,
Follet,,,capricious,,,adj.,,,,,124r and 129v,,,,,,,,
Fondre,,1,to melt,,,v.,,,,,,,,,,,,,
Fondre,,2,to found (e.g. a cannon),,,v.,,,,,,,,,,,,,
Fonds,,,depth (of a color),,,n.(m),Cot,,,,,,,,,,,,
Fontanier,,,fountain maker,,,n.(m),,,,,,,,,,,,,
Fonte,,1, melting (the process),,,n.(f),,,,,,,,,,,,,
Fonte,,2,founding (the process e.g. of founding a cannon),,,n.(f),,,,,17v,,,,,,,,
Fonte,,3,the melt (of metals or glass),,,n.(f),,,,,,,,,,,,,
Foret,,,borer (a boring tool larger than a gimlet),,,n.(m),,,,,,p025v_1,,,,,,,
Foreter,,,to bore,,,v.,,,,,,,,,,,,,
Forge des orfevres ,,,goldsmiths' forge,,,n.(f),,,,,,,,,,,,,
Forme,,1,mold,,,n.(f),,,,,63r,,,,,,,,
Forme,,2,method,,,,,,,,82v and F. 83v,,,,,,,,
Fornaise,fournaise,,a very hot furnace,,,n.(f),,,,,,,,,,,,,
Fourbisseur,,,"furbisher (sword-cutler, one who assembles and furbishes swords)",,,n.(m),DAF,,,,,,,fourbisseur,,,,,
Fourneau,,1,"oven (baking, cooking etc.)",,,n.(m),(four and fourneau seem to be used interchangeably),,,,,,,,,four,,,
Fourneau,,2,"furnace (distillation, metalwork etc.)",,,,,,,,,,,,,,,,
Fosse,,,pit,,,n.(f),,,,,,,,,,,,,
Four,,1,"oven (baking, cooking etc.)",,,n.(m),(four and fourneau seem to be used interchangeably),,,,,,,,,fourneau,,,
Four,,2,"furnace (distillation, metalwork etc.)",,,,,,,,,,,,,,,,
Four à vents,,,"furnace fanned by the wind, as opposed to a four a souflets (bellows furnace)",,,n.(m),,,,,40v and 87r,,,,,,,,
Four à reverberation,,,"reverberatory furnace (using reflected heat, with the fire separated from the hearth; the chamber can reach very high temperatures without the material catching fire)",,,n.(m),,,,,102r,,,,,,,,
Fours de barbiers,,,barbers' oven (used for heating towels),,,n.(m),,,,,,,,,,,,,
Fouyer,foyer,,hearth (of a fireplace),,foyer,n.(m),Cot,,,,,,,,,,,,
"Frais, fresche",fraische,,fresh,,"frais, fraîche",adj.,,,,,,,,,,,,,
Fraiser,,,to pill (i.e. remove the husk of grain),,,v.,Cot | OED,,,,,,,,,,,,
Frangible,,,"frangible, breakable",,,v.,Cot,,,,,,,,,,,,
Fresc (à),,,in fresco,,,advp.,TLF,,,,,p058v_3,,,,,,,
Frésil,,,"fresil (on 94v, the author-practitioner defines this as ceste escaille de fer tombant a la
forge des mareschaulx (""the iron scale falling at the farriers' forge"")",,,n.(m),,,,,,,,,,,,,
Fronssé,,,puckered,,froncé,adj.,Cot,,,,,,,,,,,,
Fumer,,,to smoke,,,v.,,,,,49r,,,,,parfumer,,,
Fonge,,,mushroom,,funge,n.(m),Cot,,,,,,,,,,,,
Fusil,,,fire-steel,,,n.(m),Cot,,,,,,,,,,,,
Fusion,fuzion,1,fusion,,,n.(f),,,,,"68r, 68v",,,,,fondre,,,
Fusion,,2,casting,,,,,,,,,,,,,,,,
Fust,,,stock,,,n.(m),Cot,,,,,,,,,,,,
Fustée,,,burnishing tool,,,n.(m),,,,,"(94r, 94v",,,,,,,,
Fustet,,,fustet (a subspecies of sumac tree whose yellowish wood is used for medicines and dyes),,,n.(m),Littré,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
G,,,,,,,,,,,,,,,,,,,
Gabion,,,gabion (a large basket-like container filled with rocks and used as protection for gunners),,,n.(m),Cot,,,,,,,,,,,,
Gainier,,,sheath maker,,,n.(m),"OED | LAF | J. Palsgrave Lesclarcissement 266/2: Sheth maker, gaignier.",,,,57v,,,,,,,,
Galipot,,,"galipot (The turpentine or resin which exudes from, and hardens upon, the stem of certain pines. Not to be confused with the English “gallipot”—a vessel used in alchemy)",,,n.(m),OED,,,,,,,,,,,,
Gaillardise,,,"lustiness, liveliness, cheerfulness",,,n.(f),Cot,,,,49v,,,,,,,Update when we've decided whether/how to translate,
Galle,,,mange (of dogs),,gale,n.(f),,,,,,,,,,,,,
Garde,,,guard (part of a sword hilt),,,n.(f),,,,,,,,,,,,,
Garance,,,madder (plant source of a red dye and pigment),,,n.(f),Cot | Littré,,,,76r,,,,,,,,
Garnir,,,to furnish,,,v.,Cot,,,,25r,,,,,,,,
Garrigues,,,scrublands of southern France,,,n.(fpl),,,,,,,,,,,,,
Guarite,,,garret,,garite,n.(f),OED,,,,,p024v_1,,,,,,,
Garson,,,boy (assistant),,garçon,n.(m),,,,,,,,,,,,,
Gason,,,clod,,gazon,n.(m),,,,,,,,,,,,,
Gaster,,,to spoil,,gâter,v.,Cot,,,,,p094r_1,,,,,,,
Gay,,,bright (of colors),,gai,adj.,Cot,,,,,,,,,,,,
Gayac,,,guaiac,,gaïac,n.(m),,,,,,,,,,,,,
Gect,,1,"casting, cast",,jet,n.(m),,,,,"114v, 124v",,,,,,,,
Gect,,2,"gate (in casting, the place where the molten metal is poured into the mold)",,,,,,,,,,,,,,,,
Gecter,,,to cast,,jeter,v.,,,,,,,,,,,,,
Gemme,,,resin,,,n.(f),DMF,,,,"87v, 44v",,,,,,,,
"Gentil, gentille",,,nice,,,adj.,,,,,,,,,,,,,
Gentilesse,,,conceits (of mirrors and magic tricks),,gentillesse,n.(f),Cot,,,,"5r, 36r",,,,,,,,
Geyet,geyct | jayet | jaiet,,"jet (a hard black variety of coal that takes a brilliant polish and is used for jewellery, ornaments, etc.)",,jais,n.(m),,,ann_042_sp_16,,,,,,,,,,
Gibessiere,,,pouch,,,n.(f),Cot,,,,,,,,,,,,
Gibessiere de maistre Gonin,,,conjurer's pouch,,,n.(f),,,,,,,,,,Gonin,,,
Gip,,,plaster,,gypse,n.(m),,,,,,,,,,,,note in glossary: NB plaster has been used elsewhere for plastre: differentiate? MHS 2016,
Glacer,,,"to glaze (with oil paint, to achieve a glassy surface)",,,v.,,,"""red enamel annotation"" – is that the rouge clair one?",,,,,,,,,,
Glaire d'oeuf,,,egg glair (egg white beaten with water and strained),,,n.(f),"Furetière, 1687",,,,,,,,,,,,
Glebes,,,clods of earth,,,n.(fpl),,,,,,,,,,,,,
Godet,,,?,,,n.(m),"Cotgrave: ""an earthen bole; a stone cup, or jug""",,,,,,,,,,,,
Gomme armoniac,,,"gum ammoniac (also known as “ammoniac gum” or “ammoniacum”. A complex gum/oil/resin mixture obtained from the stems of carrot family plant, Dorema ammoniacum, native to Iran and India)",,gomme ammoniaque,n.(f),Cot | PG | CAMEO,,,,,,,,,,,,
Gomme dragant,,,tragacanth gum (a natural gum obtained from the dried sap of several species of Middle Eastern legumes of the genus Astragalus),,,,Wikipedia,,,,,,,,,,,,
Gommé,,,gummed (thickened with gum),,,adj.,Cot,,,,,,,,,,,,
Gonin (Maistre),Gonin,,conjuror,,,n.(m),,,,,,,,,,,,,
Gouge,couge,,gouge,,,n.(f),,,,,,,,,,,,,
Goumiche,,,"Meaning uncertain, possibly lower quality gum (gomme + -iche, suffix for lower quality)",,,n.(f),,,,,,,,,,,,,x
Grain,,,(a unit of measurement),,,,DMF,,,,,,,,,,,,
"Gras, grasse",grace,,"fatty (i.e. soft, malleable, or rich, according to material or context)",,,adj.,,,,,,,,,aride,,,,
Grands metaulx,,,"great metals (unclear which metals this refers to:  on fol. 156r the ms speaks of lead “and the other great metals,” but on fol. 134v, it speaks of the casting of gold) ",,,n.(mpl),OED,,,,,,,,,,,,
Grattebroisse,,,"scratch-brush (either a large wire brush or a small, pencil-shaped brush now commonly used in clockmaking)",,gratte-brosse,n.(f),,,,,159v,,,,,,,,
Grattebroisser,,,to rub with a scratch-brush,,,v.,,,,,156r,,,,,,,,
Grave,,,dense,,,adj.,,,,,106v.,,,,,,,,
Graver,,1,to engrave (with a burin),,,v.,,,,,,,,,,,,,
Graver,,2,to etch (with a corrosive),,,,,,,,,p139v_1,,,,,,,
Gravelle,,,small gravel,,,n.(f),Cot,,,,,,,,,,,,
Greffer,,,to graft,,,v.,,,,,,,,enter,,,,,
Gres,grais,,"a particular type of potters' clay or earth for making stoneware vessels, or the stoneware vessels themselves",,grès,n.(m),Cot | OED,,,,,,,,,,,,
Grille,,1,"Meaning uncertain, probably a smaller type of ingot than the 'saumon', and more convenient to sell. See eg. Dictionnaire universel de Commerce (1742), which likens ""grile"" to ""saumon"", although to the AP these are clearly different (on fol. 28v).",,,n.(f),Dictionnaire universel de Commerce (1742),,,,"28v, 48v, 92r",,,,,,,,x
Grille,,2,grate (in a furnace or similar),,,n.(f),,,,,,,,,,,,,
Gripper,,,"to grip, to stick, to take hold",,,v.,,,,,"3r, 66r,",,,,,,,,
Gris,,,"name given to several species of squirrel and, by extension, to their fur",,petit-gris,n.(m),,,,,,p066v_4,,,,,,,
Gris d’escailles,,,undetermined grey pigment,,,n.(m),,,,,,,,,,noir d'escaille,,,
"Gros, grosse",,1,"coarse, thick, large (of sand, cloth etc.)",,,adj.,Cot,,,,,,,,,,,,
"Gros, grosse",,2,crude (of metals),,,adj.,,,,,,,,,,,,,
Grosserie,,,"large wares (grosserie in this period often also referred to work done in bulk (see Littré), but this is not what seems to be implied in the ms. See also Cennini's use of grosseria as opposed to minuteria, suggesting large wares as opposed to small delicate ones. Cennini’s translator Ashbee: “metal work of the larger sort, as opposed to minuteria. Our term, hammered hollow ware, would partly express it. It mainly included the beating of large vessels into shapes, but it did not exclude the processes of casting.”)
",,,n.(f),"Ac. 1835-1932 | GRANDJEAN, Orfèvr. XIXe s., 1962, p. 22 | Littré",,,,,,,,,,,,
Grosset,,,"thickish, largeish",,,adj.,,,,,,,,,,,,,
Grossier,,,"coarse, crude (e.g. of turpentine)",,,adj.,,,,,3v,,,,,,,,
Grosseur,,,size,,,n.(f),,,,,,,,,,,,,
Grumeleure,,,lump,,grumelure,n.(f),"Cot ""grommeleux""",,,,,,,,,,,,
Grumeleux,,,lumpy,,,adj.,"Cot ""grommeleux""",,,,,,,,,,,,
Gaulde,,,weld,,gaude,n.(f),DMF | OED,,,,,056r_1,,,,,,,
Guarite,,,garret,,garite,n.(f),OED,,,,,p024v_1,,,,,,,
Gueule,,1,mouth (of snakes and other animals),,,n.(f),,,,,,,,,,,,,
Gueule,,2,"muzzle (of a gun, to distinguish from bouche)",,,,,,,,,,,,,,,,
Guesde,,,"guede woad (as distinct from pastel or ""pastel woad""; it is unclear whether the author means the two terms to be entirely synonymous. Cotgrave: “Many of the French dyers call the courser sort of stuffe Guesde, and the finer Pastel; most writers confound them.”",,guède,n.(f),Cot,,,,,,,,,pastel,,,
Gueuse,,,"pig (in metalwork, a large ingot of iron cast straight from the blast furnace. In English, the term ""pig"" is still widely used and includes iron and nonferrous materials cast into sand or metal moulds provided that it is intended for remelting before use. In French ""gueuse"" is restricted to virgin iron.)",,,n.(f),DAF | Grand dictionnaire terminol. (Québec),http://gdt.oqlf.gouv.qc.ca/ficheOqlf.aspx?Id_Fiche=17027236,,,,,,,,,,,
Guimbelet,,,"gimlet (a small tool with a screw point, grooved shank, and cross handle for boring holes)",,gibelet,n.(m),"Cot (""giblet"") | MW",,,,,,,,,,,,
Guindole,,,jujube,,guindolle,n.(f),Cot,,,,1v,,,,,,,,
,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,,,,,,
Halebarde,,,halberd,,hallebarde,n.(f),,,,,,,,,,,,,
Halidade,,,"alidade (pivoted sight or pointer, typically part of an astrolabe)",,alidade,n.(f),OED,,,,,,,,,,,,
Haquebute,,,"hackbut (used interchangeably with ""arquebus"" in the period. Cotgrave also has “caliver”, which is a small smooth-bore long firearm)",,,n.(f),Cot,,,,,p044r_1,,,,,,,
Harquebus,haquebute,,arquebus,,harquebuse,n.(f),OED,,,,,p024r_1,,,,,,,
Harquebus à croc,haquebute à croc,,"arquebus à croc, or wall gun (a gun with a hook preventing the recoil by steadying it on a wall or battlement)",,arquebuse à croc,n.(f),OED,,,,,,,,,,,,
Harquebus de chasse,,,fowling piece (a type of arquebus),,,n.(f),Cot,,,,,,,,,,,,
Hausse,,,elevation,,,n.(f),Cot,,,,,p021r_1,,,,,,,
Hausser,,,to elevate,,,n.(f),Cot,,,,,p021r_1,,,,,,,
Havets,àbets,,chaff,Occitan,,n.(mpl),,http://www.etymologie-occitane.fr/2011/06/abes-abet/,,,37v,,,,,,,,
Haste,,,hâte,,hâte,n.(f),,,,,,,,,,,,,
Histoire,,,history (in painting),,,,,,,,"p031v, 39v, 57v, also 64v",,,,,,,,
Hoqueton,,,haqueton (a now obsolete English term designating a jerkin or plated leather jacket),,,n.(m),"OED |  Thresor de la langue francoyse (Nicot, 1606)",https://artflsrv03.uchicago.edu/philologic4/publicdicos/query?report=concordance&head=&q=hoqueton&start=0&end=0,,,,,,,,,,,
Horlogeur,,,clockmaker,,,n.(m),Cot,,,,p082r,,,,,,,,
Huchau,,,"Meaning uncertain. It seems to refer to a specific quantity of amber, possibly a box's worth",,,n.(m),DMF,,,,,,,,,,,,x
Huile d’aspic,,,spike lavender oil,,, n.(f),,,,,,,,,,,,,
Huile de ben,,,Ben oil (derived from the Moringa tree),,, n.(f),Cot | DMF,,,,163r,,,,,,,,
Huile de chenevi,huile de chenevis | huile de chanvre,,hempseed oil,,, n.(f),,,,,,,,,,,,,
Huile de froment ,,,wheat oil,,, n.(f),"Ch. Estienne, Maison rustique, 1567 edn.; for translation, see the English translation, The Countrey Farm, 1616, p. 435 (Book 3, ch. 55)",http://reader.digitale-sammlungen.de/de/fs1/object/display/bsb10165010_00357.html?contextType=scan&contextSort=score%2Cdescending&contextRows=10&contextStart=10&context=huile,,,,,,,,,,,
Huile de soufre,,,oil of sulfur (vitriol or sulfuric acid),,, n.(f),,http://cameo.mfa.org/wiki/Vitriol | http://cameo.mfa.org/wiki/Sulfuric_acid,,,,,,,,,,,
Huile gras,,,fatty oil,,, n.(f),,,,,,,,,,,,,
Huile tingente,,,"keep Fr. — [has this been looked into?] Defined in 137r
",,, n.(f),,,,,,,,,,,,,
Humecter,,,to moisten,,,v.,Cot,,,,,p041v_3,,,,,,,
Humidité,,,"dampness, humidity",,, n.(f),,,,,,,,,,,,meaning = current translation; needs review,
,,,,,,,,,,,,,,,,,,,
I,,,,,,,,,,,,,,,,,,,
Ignition,,1,firing,,, n.(f),Cot ,,,,,,,,,,,,
Ignition,,2,state of being red-hot,,,,,,,,,,,,,,,,
Imiter,,,"to imitate (the author-practitioner apparently distinguishes between imiter and contrefaire, with imiter meaning to make a representation of something (a thing or scene), and contrefaire to mimic a (valuable) material in (more available) materials, such as coral contrefaict and jaspe contrefaict.",,,v.,,,,,,,,,,,,,
Immundice,,,impurities,,, n.(f),Cot | DMF,,,,,,,,,,,,
Impalpable,,,impalpable (used as technical term for very finely made powder,,,adj.,"Biringuccio, book VIII, Ch. 1, (Dover 1990), p. 324",,,,,,,,,,,,
Aposteme,,,"impostume (Cotgrave: ""An inwards swelling full of corrupt matter"")",,apostume | apostème, n.(f),Cot,,,,,,,,,,,,
Impression,,1,impression,,, n.(f),,,,,,,,,,,,,
Impression,,2,printing,,,,,,,,,,,,,,,,
Impression,,3,priming (painting),,,,,,,,,,,,,,,,
Incarnadine,,,"a shade of red (Cotgrave: ""a deep, rich, or bright carnation"")",,,adj.,Cot | DMF,,,,,,,,,,,,
Incontinent,,,quickly,,,adj.,,,,,,,,,,,,,
Inhonorificabilitidinitatudinibus,,,"a literary word, essentially meaning ‘dishonourableness’. Similar word ‘honorificabilitudinitatibus’ used in Shakespeare’s Love Labours Lost (Act V, Scene I) and many other sources. Also found in Dictionaries from the late 15th/16thC. Although the trick is in Jean Prevost (54v-56v), he does not use this term.",,,,"Loves Labours Lost ed. H. H. Furness(1906), 216-7.",,,,,,,,,,,,
Injection,,,"injection (not necessarily intravenous injection, but any administration of liquid medicine into any part of the body, e.g. enemas etc)",,,,Cot,,,,,,,,,,,,
Irois (les),,,the Irish,,Irlandais,n.(mpl),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
J,,,,,,,,,,,,,,,,,,,
Jacinthe orientale,,,oriental jacinth,,,n.(f),"Corneille (Dict. des arts, 1694): ""Pierre pretieuse, qui par son feu semble tenir du rubis. Elle en differe pourtant en ce que sa couleur est moins chargée; elle ressemble aussi à l’Amethyste, tirant quelque peu sur le violet. (...) Toutes ces sortes de Pierres sont Orientales, apportées de Cananor, Calecut ou Cambaïe.""",,,,,,,,,,,,
Jarus,,,arum (Arum maculatum),,,n.(m),Cot,,,,35v,,,,,pied de veau,,,
Jaulne d'œuf,,,egg yolk,,jaune,n.(m),,,,,,,,,,,,,
Jeux Floraux,,,"Floral Games, a poetry competition in Renaissance Toulouse, in which lifecast flowers were given as prizes",,,n.(mpl),,,,,,,,,,,,,
Joincture,Jointure,,joining,,,n.(f),Cot,,,,,,,,,,,,
Jointée,joinctée,,double handful (i.e. the amount that can be cupped in two hands),,,n.(f),,,,,4v,56r_1,,,,,,,
Jour (à),,,"Having perforations or holes, pierced; spec. designating an ornamental openwork pattern",,,adj.,OED,,,,,,,,,,,,
Jour naturel,,,"a natural day, i.e., 24 hours. In contrast to a jour artificiel (a tradesman’s day from sunrise to sunset) or jour civil (also 24 hours, but starting according to the custom of the place or nation)",,,n.(m),Cot,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,
K (vieulx),,,"Meaning uncertain; ""vieulx K"" occurs twice in the manuscript (fol. 86v and 147v), and both instances are associated with a silver-copper alloy. Silver-copper alloy was used in minting coins, where it was known as billon. The abbreviation K might thus indicate a coin, perhaps the German Kreuzer which was abbreviated K and was made of silver-copper alloy up until the seventeenth century.",,,n.(m),,https://de.wikipedia.org/wiki/Kreuzer_(Münze),,,,,,,,,,,x
L,,,,,,,,,,,,,,,,,,,
Laicton,latton | leton | letton,,"latten (likely a copper, tin, zinc, and sometimes lead alloy. There is debate amongst scholars about the definition of brass or laiton in modern French vs. bronze, both of which are copper alloys)",,laiton,n.(m),,,,,"7r, 8v, 15r, 36v, 40v, 47v, 48v 49r, 67v, 69r-v, 70r-v, 72r, 81v, 82r, 83v, 86r-v, 87r.",,,,,,,,
Laiton de potin,,,"potin latten (presumably latten made with potin, an alloy of copper and tin, usually with lead and zinc, used by ancient Celtic peoples for making coins)",,,n.(m),OED,,,,,,,,,,,,
Lame,lamine,1,blade,,lame,n.(f),,,,,,p032r_1,,,,,,,
Lame,,2,"plate (of metal. In plated armor, overlapping plates or bands connected by rivets or internal leathers to achieve articulation)",,,,,,,,,,,,,,,,
Lame,,3,reed (part of a loom),,,,Cot | DMF,,,,,p044v_1,,,,,,,
Lapasse,,,"burdock (likely the genus Arctium, previously called Lappa)",,,n.(f),"Tournefort, Élémens de botanique (1694)",,,,,,,,,,,,
Lapathium acutum,Lapathum acutum,,"narrow-leaved dock or sorrel, Rumex acetosa",,,n.(m),,,,,,,,,,,,,
Lapidée,,,stony,,,adj.,,,,,,,,,,,,,
Large (au),,,"loose, with space",,,advp.,"Richelet, 1680",,,,127r,,,,,,,,
Laque,,,"lake (pigment produced by a lake process; usually a red one. From lac, a red colorant made from a variety of organic materials)",,,n.(f),,,,,,,,,,,,,
Laque platte,,,?,,,n.(f),,,,,,,,,,,,,
Laque ronde,,,?,,,n.(f),,,,,,,,,,,,,
Lanterne,,1,lantern,,,n.(f),,,,,,,,,,,,,
Lanterne,,2,(tool used to charge guns or the equivalent measure of powder),,,,OED | Dictionnaire polyglotte de termes techniques miltaires et de marine,https://books.google.fr/books?id=zYMsxPPqz1gC&pg=PA118&dq=laddle+artillery&hl=fr&sa=X&ved=0ahUKEwiu1r262JncAhXEXBQKHX_xDcwQ6AEIKjAA#v=onepage&q=laddle%20artillery&f=false,,,,P017r_1,,,,,,,
Larme,,,tear (of resin or similar materials),,,n.(f),,,,,,,,,,,,,
Latte,,,"a form of lead ingots that the Germans use, as opposed to the French saulmon",,,,,,,,30r,,,,,,,,
Laver,,,"to wash (for pigments, this refers to a process now known as levigation)",,,v.,,,,,,,,,,,,,
Laveure,,,sweepings from the furnace and shop floor of metalworkers,,,n.(f),,,,,,,,,,,,,
Lesion,,,"harm, lesion",,,n.(f),,,,,139r,,,,,,,,
Lesard,,,lizard,,lézard,n.(m),,,,,,,,,,,,,
Lessive,lexive,,lye,,lessive,n.(f),Cot,,,,,,,,,,,,
Liaison,,,bond,,,n.(f),,,,,161v,,,,,,,,
Liard,liart,1,liard (small coin),,liard,n.(m),Cot | OED,,,,,,,,,,,,
Liard,,2,a liard's worth (quantity of material),,,,,,,,,,,,,,,,
Lie de vin,lye de vin,,wine lees,,,n.(f),Cot,,,,,p076v_4,,,,,,,
Lien,,1,bundle (a quantity of glass for sale),,,n.(m),,,,,134v,,,,,,,,
Lien,,2,tie (e.g. for tying together molds),,,,,,,,,,,,,,,,
Lieue,,,league (c. two miles),,,n.(f),Cot,,,,,,,,,,,,
Ligne,,,line (often a measurement; Cotgrave says a twelfth of an inch; in the ms on fol. 22r it is defined as a twelfth of a king's foot),,,n.(f),Cot | OED,,,,"22r, 22v",,,,,,,,
Ligne de plomb,,,plumb line,,,n.(f),OED,,,,,,,,,,,,
Ligue,,,alloy,,,n.(f),,,,,,,,,,,,,
Limaille,,,filings,,,n.(f),Cot,,,,,,,,,,,,
Lime,,,file,,,n.(f),,,,,"159v, 67v",,,,,,,,
Lime doulce,,,soft file (for polishing iron),,,n.(f),DAF,,,,,,,,,,,,
Linge,,,"linen, linen cloth",,,,,,,,,,,,,,,,
Litharge,litarge,,litharge (white pigment containing lead),,,n.(f),DMF | OED,,ann_036_sp_16,,,,,,,,,,
Lisable,,,legible,,lisible,adj.,,,,,,,,,,,,,
Liste,,,roll or strip of fabric,,,n.(f),Cot | DMF,,,,23r–v,,,,,,,,
Livide,,,bleak,,,adj.,Cot,,,,,p058_3,,,,,,,
Livre,,,livre (any of a number of coins or units of account used in France),,,n.(f),,,,,,,,,,,,,
Livre,,,book,,,n.(m),,,,,,,,,,,,,
Livre maige,,,ledger,,grand livre,n.(m),,,,,,,,livre de raison,,,,,
Livre de raison,livre de raisons,,account book (i.e. a ledger),,,,"Yannick Lemarchand, ‎Robert Henry Parker, Accounting in France: Historical Essays, 1996, p. 96. |  Palgrave's Dictionary of Political Economy",https://books.google.fr/books?id=9Oc1XqDcjXIC&pg=PA97&lpg=PA97&dq=%22livre+de+raison%22+%22ledger%22&source=bl&ots=pDfc6vrfvC&sig=6TCFt6vlMwUZOjaroOObYrQTpaE&hl=fr&sa=X&ved=0ahUKEwjEl-rWjYrcAhWHZ1AKHRQ_BpAQ6AEIKDAA#v=onepage&q=%22livre%20de%20raison%22%20%22ledger%22&f=false | https://books.google.fr/books?id=K49PDAAAQBAJ&pg=RA1-PA619&lpg=RA1-PA619&dq=%22livre+de+raison%22+%22ledger%22&source=bl&ots=ytfFNh1vYJ&sig=mjVH9zMG7Y6X-tP5TWeV7hHAFzI&hl=fr&sa=X&ved=0ahUKEwjEl-rWjYrcAhWHZ1AKHRQ_BpAQ6AEIODAD#v=onepage&q=%22livre%20de%20raison%22%20%22ledger%22&f=false,,,,,,livre maige,,,,,
Longuet,,,longish,,,adj.,,,,,,,,,,,,,
Loppe,,,"loop (mass of raw iron from the smelting furnace, also called ""bloom"")",,,,,,,,,,,,,,,,
Loppin,,,piece,,lopin,n.(m),DAF,,,,,,,,,,,,
Lumbris,,,,,lombric,n.(m),"See Albertus Magnus, Le Secret des secrets de nature (n.d., p. 47)",https://gallica.bnf.fr/ark:/12148/bpt6k97691521/f57.item.r=%22lumbris%22,,,,p055v_2,,,,,,,
Lumiere,,1,light,,,n.(f),,,,,,,,,,,,,
Lumiere,,2,touch-hole (of hand-held firearms),,,,,,,,,,,,,,,,
Lumiere,,3,fuse (larger guns),,,,,,,,,,,,,,,,
Lumiere,,4,sight (for aiming a gun),,,,,,,,,,,,,,,,
Lumignon,,,wick,,,n.(m),,,,,,,,,,,,,
Lut,luth,,"lute (clay or cement composed of various ingredients, and used to stop a hole, coat vessels to protect them from the fire or seal a joint between pieces of apparatus e.g. for distillation)",,,n.(m),OED,,,,052r,,,,,,,,
Luter,,,to lute (cover the outside of the vessel with lute to seal and protect the vessel from the heat),,,v.,OED,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
M,,,,,,,,,,,,,,,,,,,
Mache de fer,,,iron dross,,mâchefer,n.(f),,,,,"83r, 84v, 85r, 86v, 90r, 97v",,,,,,,,
Machouere,,,jaw,,mâchoire,n.(f),,,,,122r,,,,,,,,
Madreures,,,streaks (of wood),,madrures,n.(f),,,,,p071r,,,,,bois madré,,,
Magistra (eau),magistre,,liquid binder used in sand molding,,,n.(f),,,,,"84v, 87v",,,,,,,,
Maigre,,,"lean (sand, earth etc.)",,,adj.,Cot,,,,,,,,gras,,,,
Mail,,,mallet,,,n.(m),Cot,,,,,,,,,,,,
Main,,1,hand,,,n.(f),,,,,,,,,,,,,
Main,,2,"coat (of paint, varnish, or plaster)",,,n.(f),,,,,"29v, 42v, 60r, 60v, 81r",,,,,,,,
Maistre juré,,,sworn master (of a trade),,,n.(m),,,,,,,,,,,,,
Malaisé,,,"awkward, difficult, troublesome",,,adj.,,,,,,,,,,,,,
Mal caduc,,,falling sickness,,,n.(m),DMF,,,,,p046r_3,,,,,,,
Manche,,,sleeve,,,n.(f),Cot,,,,81v,,,,,,,,
Manche,,,handle,,,n.(m),,,,,,,,,,,,,
Mandore,mandorre | mandorle,,mandore (small musical instrument),,mandore,n.(f),Cot,,,,,,,,,,,,
Maniable,,,handleable,,,adj.,,,,,,,,,,manier,,,
Manier,,,to handle,,,v.,,,,,,,,,,maniable,,,
Maniere,,,manner (of doing sth),,,n.(f),,,,,,,,,,,,,
Marbre,mabre,,marble,,marbre,n.(m),,,,,,,,,,,,,
Marchasite,,,"marcasite (bronze-yellow mineral consisting of iron disulphide, also known as pyrite. Palissy defines marcasites as imperfect metals, sometimes formed in a square fashion, like dice)",,,,"OED | Palissy, Discours Admirables (1580) trans. Aurore La Roque, 1957.",,,,,,,,,,,,
Marche,,,pedal (of a loom),,,,DAF,,,,,p044v_1,,,,,,,
Mareschal,mareschaulx (pl.),,farrier,,maréchal,n.(m),Cot,,,,,p094v_1,,,,,,,
