separate by |",separate by |,Could be done programmatically,,,,,Working notes,
original-fr 640-spelling,alternate-spellings,meaning-number,meaning,language-dialect-of-origin,"Modern form or spelling, even if meaning has changed","Part of speech (n., v., adj., adv.)",Reference or further notes,Reference link,Annotation id,"Questions, observations, examples, references",Folio,Entry ID,Entry heading,Synonym in this glossary,Antonym in this glossary,"""See also"" - other entry",Convert to editorial comment (or pull out partial comment) - Y / N,Editors notes,Uncertain
Choppine,,,"measure unit Parisian half-pint, according to Cot. ""almost as big as our whole one"" ",,chopine,n.(f),Cot,,,,,p076v_4,,,,,,,
Ciment,,,cement,,,n.(m),,,,,,,,,,,,,
Ciment royal,,,"royal cement, accrding to Cot. ""an excellent cement, or solder, used by goldsmiths""",,,n.(m),Cot | RD,,,,,,,,,,,,
Cire,,,wax,,,n.(f),,,,,,,,,,Bois de cire,,,
Cire à esbaucher,,,"modelling wax, A-P defines it as ""white wax mixed with plenty of ceruse or blanc de plomb"" Also mentioned as a ""counterfeit diamond""",,,n.(f),,,,,156v,,,,,esbaucher,,,
Ciseau,,,chisel or scissors when inflected in plural form,,,n.(m),,,,,,,,,,ciselet | chaple | onglet,,,
Ciseler,,,"to chase, rather than to literally chisel (to repair the surface of a cast)",,,v.,,,,,,p156r_3,,,,reparer,,,
Ciselet,,,small chisel,,,n.(m),,,,,,,,,,ciseau,,,
Ciselet crané,,,"small serrated chisel (a sculptor's tool, also known as gradine or claw chisel)",,ciselet cranté,n.(m),,,,,151v,,,,,,,,
Cistre,,,"cittern, an instrument of the lute family",,,n.(m),OED,,,,114r | 114v,,,,,,,,
Civette,,,"civet, a substance taken from the glands of the civet-cat",,,n.(f),Cot,,,,,,,,,,,,
Clair,cler,1,"clear, of color",,clair,adj.,,,,,,,,,,,,,
,,2,"thin, of a paste",,clair,adj.,DMF,,,,89v,,,,,esclarcir | coucher cler,,,
,,3,"not heavy nor dense, but light and clear",,clair,adj.,,,,,117r,,,,,,,,
Clervoise,clairvoise | clairvois | claire-voie,,opening or series of openings,,,n.(f),,,,,20r,,,,,,,,
