subject_tag,subject_label,subject_term,verb_lemma,total_count,objects
pro,Profession,Founders,cast,2,frames; lb
pro,Profession,Founders,have,1,their files
pro,Profession,founders,have,1,this superstition
pro,Profession,Founders,melt,1,latten
pro,Profession,Founders,take,1,the roots
pro,Profession,Founders of large casts for statues,throw,1,much tartar
pro,Profession,furbisher,buy,1,his blades
pro,Profession,glassworker,have,1,a stench
pro,Profession,goldsmiths,assemble,1,their silver filings
pro,Profession,goldsmiths,know,1,the substance
pro,Profession,Goldsmiths,scrape,1,gold leaf
pro,Profession,Goldsmiths,sell,1,a denier
pro,Profession,goldsmiths who work large wares,forge,1,their platters
pro,Profession,goldsmiths who work large wares,work,1,large wares
pro,Profession,gunner,rivet,1,the nail
pro,Profession,gunners,prefer,1,a piece
pro,Profession,Joiners,glue,1,their masterpieces
pro,Profession,mason,make,1,a house
pro,Profession,masters,pass,1,judgment
pro,Profession,Molders,use,1,crocum ferri
pro,Profession,"others, who work in the countryside",put,1,fifteen
pro,Profession,painters,bring,1,their palette
pro,Profession,painters,have,1,such panels
pro,Profession,painters,make,2,batture; their shadows
pro,Profession,painters,pour,1,a few drops
pro,Profession,painters,trick,1,the poor peasants
pro,Profession,peasants,eat,1,their soup
pro,Profession,Pewterers,put,2,lb (2)
pro,Profession,pioneers,bring,1,gabions
pro,Profession,pioneers,carry,1,the boards
pro,Profession,Scribes,achieve,1,darkening
pro,Profession,Sheath makers,use,1,"small, very delicate skins"
pro,Profession,small peddlers,lie,1,open small wares
pro,Profession,Stone cutters,choose,1,old pieces
pro,Profession,sworn master pewterers,add,1,lb
pro,Profession,The one who makes a profession of working in oil,make,1,a profession
pro,Profession,Those who create sword guards,create,1,sword guards
pro,Profession,those who make gemstone foils,make,1,gemstone foils
pro,Profession,those who make pots,make,1,pots
pro,Profession,those who sharpen,sharpen,1,"smooth, mold"
pro,Profession,weaver,make,1,a cloth
pro,Profession,women,see,1,the secret places
pro,Profession,worker who made the wood piece,make,1,the wood piece
sn,Sense Term,I could hold my finger to it without burning myself,hold,1,my finger
sn,Sense Term,"of such a heat that you can handle it without harm, or that you can keep your finger in the gate without burning yourself",keep,1,your finger
sn,Sense Term,of such heat that you can hold your finger there without harm in the hole,hold,1,your finger
sn,Sense Term,of such heat that you cannot hold your finger there without feeling strong heat,hold,1,your finger
sn,Sense Term,"so that without burning yourself, you can hold your finger in it without burning yourself",hold,1,your finger
sn,Sense Term,until you can hold your finger without harm in the hole of the gate,hold,1,your finger
sn,Sense Term,"water so hot, that, at the beginning, you cannot hold your finger in it",hold,1,your finger
sn,Sense Term,"You will know its goodness by rubbing it with your finger, which will render it very black immediately",know,1,its goodness
tmp,Temporal,from their birth until u the time when they make their cocoons & their prisons,make,1,their cocoons
tmp,Temporal,"out of season, when winter denies flowers",deny,1,flowers
tl,Tool,bellows,give,1,violent fire
tl,Tool,blast-pipe,mark,1,A
tl,Tool,borer,take,1,more
tl,Tool,bottle in which one boils tisane,boil,1,tisane
tl,Tool,bowls of different size which have a lip,have,1,a lip
tl,Tool,boxes,place,1,one
tl,Tool,concave mirror,produce,1,an endless number
tl,Tool,cord,mark,1,a straight line
tl,Tool,crucible,give,1,some vapor
tl,Tool,"crucible covered with another, well luted, that has a hole in the top",have,1,a hole
tl,Tool,cutting-punch,punch,1,round pieces
tl,Tool,earthen slab,arrange,1,your animal
tl,Tool,files,place,1,your work
tl,Tool,Fine copper mortars,throw,1,fire
tl,Tool,frame,have,1,vents
tl,Tool,frame,take,1,the imprint
tl,Tool,head of a nail,soak,1,little
tl,Tool,Iron fork made in the form of pincers of the height of a man,place,1,the mortar
tl,Tool,metal mortar,do,1,same
tl,Tool,mold,cost,1,fifteen or sixteen frans
tl,Tool,mold,have,1,the same thickness
tl,Tool,mold,lean,1,little
tl,Tool,mold,retain,1,the color
tl,Tool,molds,have,1,their gate
tl,Tool,molds,withstand,1,several casts
tl,Tool,peg,attach,1,the petard
tl,Tool,pestles,make,1,little balls
tl,Tool,small rods to rest their hand when they are painting,rest,1,their hand
tl,Tool,sponge,purge,1,their mouth
tl,Tool,sponge,remove,1,the colored water
tl,Tool,things that withstand the fire,withstand,1,the fire
tl,Tool,trepan,make,1,another touch-hole
tl,Tool,very thin paintbrushes which have a firm point,have,1,a firm point
wp,Weapon,bastard culverin,weigh,1,35 quintals
wp,Weapon,bastarde,weigh,1,thirty quintals
wp,Weapon,cannon,fire,1,4xx
wp,Weapon,cannon,make,1,a bigger opening
wp,Weapon,cannon,need,1,3 gunners
wp,Weapon,cannon,tend,2,more; to one side
wp,Weapon,cannon,weigh,1,fifty-five or lx quintals
wp,Weapon,cannon-perrier,have,1,a large effect
wp,Weapon,double musket,weigh,1,2 quintals
wp,Weapon,field piece,weigh,1,ten or twelve quintals
wp,Weapon,great cannon,carry,1,a range
wp,Weapon,grenade,weigh,1,four to six lb
wp,Weapon,Grenades,cause,1,great damage
wp,Weapon,hackbut,carry,1,a ball
wp,Weapon,passe-volant,weigh,1,vi quintals
wp,Weapon,petard,push,1,the pegs
wp,Weapon,piece,break,1,that
wp,Weapon,piece,have,1,its own frail
wp,Weapon,piece,weigh,1,how many quintals
wp,Weapon,simple musket,weigh,1,quintal
wp,Weapon,sword,cut,1,the scabbard
