start-line,start-column,end-line,end-column,severity,systemID,description
42,2,42,8,error,/Users/terry/Github/ms-xml/tc/101r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
60,2,60,8,error,/Users/terry/Github/ms-xml/tc/102r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
53,2,53,8,error,/Users/terry/Github/ms-xml/tc/104v_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
81,2,81,8,error,/Users/terry/Github/ms-xml/tc/105r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
51,9,51,15,error,/Users/terry/Github/ms-xml/tc/106v_tc_preTEI.xml,"character content of element ""margin"" invalid; must be equal to ""bottom"", ""left-bottom"", ""left-middle"", ""left-top"", ""right-bottom"", ""right-middle"", ""right-top"" or ""top"""
106,7,106,8,error,/Users/terry/Github/ms-xml/tc/106v_tc_preTEI.xml,"element ""m"" not allowed yet; missing required element ""margin"""
64,2,64,4,error,/Users/terry/Github/ms-xml/tc/111r_tc_preTEI.xml,"element ""id"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
15,2,15,4,error,/Users/terry/Github/ms-xml/tc/111v_tc_preTEI.xml,"element ""id"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
16,2,16,6,error,/Users/terry/Github/ms-xml/tc/111v_tc_preTEI.xml,"element ""head"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
23,2,23,4,error,/Users/terry/Github/ms-xml/tc/111v_tc_preTEI.xml,"element ""id"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
24,2,24,6,error,/Users/terry/Github/ms-xml/tc/111v_tc_preTEI.xml,"element ""head"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
32,2,32,4,error,/Users/terry/Github/ms-xml/tc/111v_tc_preTEI.xml,"element ""id"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
33,2,33,6,error,/Users/terry/Github/ms-xml/tc/111v_tc_preTEI.xml,"element ""head"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
30,2,30,8,error,/Users/terry/Github/ms-xml/tc/112r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
8,2,8,8,error,/Users/terry/Github/ms-xml/tc/114v_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
61,2,61,8,error,/Users/terry/Github/ms-xml/tc/114v_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
7,2,7,4,error,/Users/terry/Github/ms-xml/tc/115r_tc_preTEI.xml,"element ""id"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""margin"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
60,2,60,8,error,/Users/terry/Github/ms-xml/tc/117r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
67,2,67,8,error,/Users/terry/Github/ms-xml/tc/117r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
81,2,81,8,error,/Users/terry/Github/ms-xml/tc/117r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
67,2,67,6,error,/Users/terry/Github/ms-xml/tc/118v_tc_preTEI.xml,"element ""head"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
60,2,60,8,error,/Users/terry/Github/ms-xml/tc/120v_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
99,2,99,6,error,/Users/terry/Github/ms-xml/tc/120v_tc_preTEI.xml,"element ""head"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""cn"", ""cont"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
69,2,69,8,error,/Users/terry/Github/ms-xml/tc/122r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
77,2,77,8,error,/Users/terry/Github/ms-xml/tc/122r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
86,2,86,8,error,/Users/terry/Github/ms-xml/tc/122r_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
103,2,103,4,error,/Users/terry/Github/ms-xml/tc/124v_tc_preTEI.xml,"element ""ab"" not allowed here; expected the element end-tag"
111,6,114,2,error,/Users/terry/Github/ms-xml/tc/124v_tc_preTEI.xml,text not allowed here; expected the element end-tag
115,2,115,4,error,/Users/terry/Github/ms-xml/tc/124v_tc_preTEI.xml,"element ""ab"" not allowed here; expected the element end-tag"
122,2,122,4,error,/Users/terry/Github/ms-xml/tc/124v_tc_preTEI.xml,"element ""ab"" not allowed here; expected the element end-tag"
129,2,129,4,error,/Users/terry/Github/ms-xml/tc/124v_tc_preTEI.xml,"element ""ab"" not allowed here; expected the element end-tag"
136,2,136,8,error,/Users/terry/Github/ms-xml/tc/124v_tc_preTEI.xml,"element ""figure"" not allowed here; expected the element end-tag"
139,2,139,8,error,/Users/terry/Github/ms-xml/tc/124v_tc_preTEI.xml,"element ""margin"" not allowed here; expected the element end-tag, text or element ""ab"", ""add"", ""al"", ""bp"", ""caption"", ""cn"", ""corr"", ""del"", ""env"", ""figure"", ""fr"", ""gap"", ""gk"", ""it"", ""la"", ""lb"", ""m"", ""man"", ""md"", ""ms"", ""mu"", ""oc"", ""pa"", ""pl"", ""pn"", ""pro"", ""rub"", ""sn"", ""sup"", ""tl"", ""tmp"" or ""underline"""
141,2,141,6,error,/Users/terry/Github/ms-xml/tc/124v_tc_preTEI.xml,"element ""cont"" not allowed here; expected the element end-tag"
20,2,20,8,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,"element ""figure"" not allowed here; expected the element end-tag"
23,10,24,80,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,text not allowed here; expected the element end-tag
23,10,24,85,error,/Users/terry/Github/ms-xml/tc/125r_tc_preTEI.xml,text not allowed here; expected the element end-tag
