folio	div_id	heading_tc	heading_tcn	heading_tl	categories	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu	df	wp
039r	p039r_1	Orfevre	Orfevre	Goldsmith	casting;metal process							sols		limaille dargent;salpestre;limaille dor;borras;plomb;or;argent;esmail rouge;cuivre;esmail	once;lb				Orfevre;orfevres		creuset				
039r	p039r_2	Pastel	Pastel	Pastel woad	cultivation;dyeing						bouche	florins	ou le fonds de la terre est si fertil;en un champ & en celuy qui est proche	Pastel;fer;vinaigre;laine	tous les ans;balles;floquets	Pastel;bled;pastel;herbes potaigeres	lauragues;carmail;auraigne	saint Anthoine	jardiners;tinturiers	goust comme de vinaigre	palles fer;rasteaulx;cuve des tinturiers;cuve				
039v	p039v_1	Esmail	Esmail	Enamel	painting							pistolet		Esmail;esmail;cuivre;argent;azur en corps;esmail blanc;esmaille;dore;argent fin;or de pistolet											
039v	p039v_2	Couleurs sur verre denlumineure	Couleurs sur verre d’enlumineure	Colors for illumination on glass	painting;glass process									verre;tourmentine;larme de mastic											
039v	p039v_3	Trasser sur le verre quelque histoire	Trasser sur le verre quelque histoire	Tracing some history on glass	painting;glass process			continued						verre;table de verre;lessive;cendre;noir a huile;noir descaille;dorees;Dore;eau gommee;suc dail;laict de figuier;planche de verre;linges;verre dore;doreure du verre;acier;argent;azur desmail;verdegris;fine laque platte;tourmentine clere;larme de mastic;foeille destain blanche;foeille destain		ail;figuier;linges			vitriers;orfevres		pinceau;linges;espingle;baston;aleine dacier				
040r	p039v_3				painting;glass process				continues					verre;tourmentine;estain											
040r	p040r_1	Taincture	Taincture	Dye	dyeing									Taincture;racine de lapathium acutum majus;rheubarbe des moynes;vinette;taignent;filet		lapathium acutum majus;rheubarbe des moynes;vinette			moynes						
040r	p040r_2	Eau fort	Eau fort	Aquafortis	corrosives									Eau fort;eau fort;eau commune;alum;eau	lb;onces						cornue;recipient				
040r	p040r_3	Vinaigre	Vinaigre	Vinegar	household and daily life								tonnerres	Vinaigre;sel mineral;mabre;sel de Cardonne;vin;fort bon vinaigre;eau;rappe aigrie			Cataloigne;espaigne;Cardonne		vendangeurs						
040r	p040r_4	Boutons de vermeilles	Boutons de vermeilles	Buttons of vermeilles	metal process									vermeilles;paste desmail broye;dore;esmail;or de foeille											
040r	p040r_5	Grottes	Grottes	Grottos	decorative								Grottes	parchemin espes;destrempe;huile											
040v	p040v_1	Croix des commandeurs de malte	Croix des commandeurs de Malte	Cross of the commanders of Malta	painting					dragon				rouge clair;esmail;sang de dragon;eau de vye;laque platte dinde;tormentine claire;larme de mastic;argent;foeilles de pierrerie			malte;inde;flandres		commandeurs de malte;painctres;ceulx qui font les foeilles de pierrerie;orfevres						
040v	p040v_2	Letton et calamine	Letton et calamine	Latten and calamine	metal process									Letton;calamine;letton;charbons					fondeurs		four a vent de souflets;creusets;four a vent souflets				
040v	p040v_3	Metal	Metal	Metal	metal process									Metal;estaim doibt estre pur;plomb;fumee;estain;cendree							cendree				
040v	p040v_4	Eau fort	Eau fort	Aquafortis	corrosives						pied			Eau fort;lutee;cendres;espricts;fumee	dour;demy pied						cornue;lutee;cendres;fourneau;grille haulte;grille basse				
041r	p041r_1	Terre de gect pour les fondeurs	Terre de gect pour les fondeurs	Earth for casting, for founders	casting					cheval				Terre de gect pour les fondeurs;fient de cheval;terre des potiers;sable;fiens de cheval;fiens;terre;pailles;terres grasses;terres	moictie;quarte;cinquiesme				fondeurs;potiers		tamiser				
041r	p041r_02	Lis de jardin	Lis de jardin	Garden lily	cultivation										an suivant	Lis de jardin									
041r	p041r_03	Sable	Sable	Sand	casting					boeuf			de naturel	Sable;sable;terre grasse;brique fort broyee;mable;plastre;albastre calcine;moelle de corne de boeuf bruslee;aspalte brusle;porphire;aspalte;tripoly;pain;noir a noircy	quarte partye						mable;porphire				
041r	p041r_04	Canards	Canards	Ducks	animal husbandry;household and daily life					Canards			eau	grain de mil bouilly;pain;laictues fort hachees	moys	mil;laictues									
041v	p041v_1	Noir des vitriers	Noir des vitriers	Glassworkers’ black	painting									Noir;Lescaille de fer;celle commune tendre qui tombe soubs lenclume;nel;noir;minium					vitriers		enclume;forge				
041v	p041v_2	Brebis tondues	Brebis tondues	Sheared ewes	animal husbandry;household and daily life					Brebis;brebis;moutons				fiente mesme de brebis	an				tondeur					viscorter	
041v	p041v_3	Couleurs et doreure sur le verre	Couleurs et doreure sur le verre	Colors and gilding on glass	painting;glass process						halene			doreure;verre;eau gommee;argent;or;gomme;papier;safran;massicot		safran									
042r	p042r_1	Fondeur	Fondeur	Founder	casting									terre;metal;pouldre de charbon					Fondeur		moule de terre				
042r	p042r_2	Cire a cachet et empraincte	Cire à cachet et empraincte	Wax for seal and imprint	wax process						mains			Cire;cire;eau tiede;eau;papiers;papier;dorer;argenter;couleurs a vernis;verre;couleurs a tourmentine & mastic;gomme armoniac;vinagre;colle							baston;pilon;moule				
042r	p042r_3	Pour gecter de plastre	Pour gecter de plastre	For casting in plaster	casting									plastre;cire							broisse				
042v	p042v_1	Poncis pour esgratigner sur le satin	Poncis pour esgratigner sur le satin	Pounced design for scratching satin	painting;household and daily life									satin;farine;croye broyee;glaire;laict ou escorce de figuier;eau;verre		figuier					lopin de verre;trancheplume				
042v	p042v_2	Toile pour paindre a huile sans se rompre	Toile pour paindre à huile sans se rompre	Canvas for painting in oil without breaking	painting									huile;miel;eau;farine											
042v	p042v_3	paindre a huile sur taffetas qui	Paindre à huile sur taffetas qui	Painting in oil on taffeta which	painting									huile;taffetas;miel;eau dalum;eau damydon											
042v	p042v_4	Sable de gect	Sable de gect	Sand for casting	casting									Sable de gect;mabre;albastre calcine							mabre				
042v	p042v_5	Pour pourfiler un portraict	Pour pourfiler un portraict	For outlining a portrait	painting									laque;huile dolif		olif									
042v	p042v_6	Vernis blanc sur le plastre	Vernis blanc sur le plastre	White varnish on plaster	varnish;painting									Vernis blanc;plastre;colle bien blanche;vernis de sandarache huile daspic et un peu de mastic;sandarache;huile daspic;mastic;huile	mains	aspic					vaisseau;pile;pinceau				
043r	p043r_1	Mericotons et pavis	Mericotons et pavis	Mericotons and pavis	cultivation											Mericotons;pavis									
043r	p043r_2	Bronzure blanche sur plastre	Bronzure blanche sur plastre	White bronzing on plaster	painting;varnish									plastre;colle;mine dangleterre;plomb brusle;gomme;cotton;plomb;minium;argent vif			angleterre		painctres						
043r	p043r_3	Purpurine	Purpurine	Purple	painting;metal process;varnish						ditto			Purpurine;stagno;☿;porfidio;sal armoniaco;solfo;vetro;negro di resina;colla;vernice;purpurina	meza onca;℥;hora				pintori		cochiaro;sublimatorio di vetro;ditto				
043r	p043r_4	Bronzure blanche	Bronzure blanche	White bronzing	painting						doigt			colle;vernis;mine dangleterre;mine;plomb			angleterre				pinceau;doigt				
043v	p043v_1	Vin diversifie et transmue	Vin diversifié et transmué	Varied and transmuted wine	tricks and sleight of hand									Vin diversifie et transmue;bresil;eau claire;eau taincte;vin;just de citron ou dorange	heures;goute	bresil;citron;orange									
043v	p043v_2	Perles	Perles	Pearls	stones									Perles;talc pulverise							lampe				
043v	p043v_3	Harquebusier	Harquebusier	Arquebusier	arms and armor									pouldre	ligne				Harquebusier						harquebus;harquebus chambree
043v	p043v_4	Dragee dharquebus	Dragee d’harquebus	Hail shot of the arquebus	arms and armor									feultre;cuir;papier							porte piece				harquebus
044r	p044r_1	Portee dharquebus	Portée d’harquebus	The range of an arquebus	arms and armor							deniers		pouldre	pieds de roy;deniers;pans;pieds;poulces;ligne;aulne de paris;pas		paris							aulne de paris	harquebus;harquebus de chasse;haquebute
044r	p044r_2	Pintier	Pintier	Pewterer	casting								villes ou sont les Maistres jures	plomb;estaim;estaim de glace;mitraille;retailles de cuivre que font les chaudroniers;estaim commun	lb;quintal				Pintier;Maistres jures;chaudroniers	sonner					
044r	p044r_3	Harquebus	Harquebus	Arquebus	arms and armor									huile;linge;papier	huict en huict jours										Harquebus;harquebus
044r	p044r_4	Laque	Laque	Lake	painting									Laque;papier	heures										
044r	p044r_5	Taincture de fleurs	Taincture de fleurs	Dyes from flowers	dyeing									Taincture de fleurs;pavot rouge;cuir blanc;boufain;herbe qui croist par les hayes qui ha la tige semblable au lin la foeuille longue & large comme menue buglose qui ha la fleur violette tirant au bleu & faicte comme la fleur du lys;colombine;fleur de buglose;pensee		pavot rouge;bleds;boufain;lin;buglose;lys;colombine;pensee									
044v	p044v_1	Tamis de poil de cheval	Tamis de poil de cheval	Horsehair sieves	tool					cheval	bouche;doitgs	sols		poil de cheval;poil de la queue de cheval;lessive;poil;poils;estamine de soye	large de ii ou trois doitgs;douzaines;sols		coustance;normandie;Thoulouse;espaigne				bouche;lame;lames;petit baston plat				
044v	p044v_2	Excellente eau contre la peste / de monsieur de montorsin	Excellente eau contre la peste, de monsieur de Montorsin	Excellent water against the plague of Monsieur de Montorsin	medicine									eau;Theriaque;rue;dictam;bon vinaigre;verre	jours	rue;dictam		monsieur de montorsin			bouteille de verre;quarreau rouge enflamme	eau contre la peste			
044v	p044v_3	Huile blanc somnifere	Huile blanc somnifere	White soporific oil	medicine						plante des pieds			Huile blanc somnifere;pommes de Mandragore;huile dolif;verre;huile	jours	Mandragore;olif					phiol;bouteille de verre	Huile blanc somnifere;auras bien tost envye de dormir			
044v	p044v_4	Stuc	Stuc	Stucco	stones									Stuc;coller;pierre;gemme;poix resine noire;rousine;soufre;cire;brique pilee;croye blanche;pierre blanche	aultant que dun que daultre &						pilee				
045r	p045r_1	Charger arquebus de dragee	Charger arquebus de dragée	Loading an arquebus with hail shot	arms and armor		CONTAINS FIGURE				doigts			buys;papier de la fort comme de grands livres imprimes;papier;carte;feultre;toile ciree;cuir;papier cire	long comme la largeur de 4 ou 5 doigts;large aultant que tu vouldras faire longue une cartuche;pas						baston;tuyau;portepiece				arquebus de dragee;arquebus;pistole
045v	p045v_1	Charger arquebus	Charger arquebus	Loading an arquebus	arms and armor		CONTAINS FIGURE							pouldre;crasse							vis;ancrou;verge;vergette				arquebus;harquebus;canon
045v	p045v_2	Pour adjouster un canon faulce	Pour adjouster un canon faulcé	For adjusting a crooked cannon	arms and armor									plomb							table bien unie & bien posee a plomb;filet sans noeuds & bien uni;plomb;filet;marteau				canon
046r	p046r_1	Pour les dents huile de soufre	Pour les dents, huile de soufre	For the teeth, oil of sulfur	medicine						dents;bouche			huile de soufre;eau fort;huile de girofle;miel rosat;cotton;huiles;eau tiede	coquille de noix;goutes	girofle;noix					coquille de noix;petit burin	Pour les dents;blanchissent;cela par apres les corrompt & leur cause une noirceur;penetre & est corrosif			
046r	p046r_2	Huile de froment	Huile de froment	Wheat oil	medicine									Huile de froment		froment						Aplique sur le poil le faict tumber & le garde de naistre			
046r	p046r_3	Contre mal caducq	Contre mal caducq	Against the falling sickness	medicine					corbeau				oeufs frais dun corbeau;gentiane en pouldre;huile de soufre	espace de 4 ou cinq matins;goutte	gentiane						Contre mal caducq;le mal ne revient plus			
046r	p046r_4	Contre goutes froides	Contre goutes froides	Against cold gouts	medicine									Huile de gayac & de soufre		gayac						Contre goutes froides			
046r	p046r_5	Go Fleurs dabres	Go Fleurs d’abres	Go Flowers of trees	cultivation																				
046v	p046v_1	Escrivain huile de soufre	Escrivain, huile de soufre	Scribe, Oil of sulfur	corrosives									huile de soufre;ancre					Escrivain;escrivain		plume				
046v	p046v_2	Cordonnier	Cordonnier	Shoemaker	corrosives;decorative									cuir noir;huile de soufre					Cordonnier		plume a escripre				
046v	p046v_3	Effacer lettre	Effacer lettre	Erasing a letter	corrosives									huile de soufre recent & bon;parchemin							plume a escripre;plume				
046v	p046v_4	Escripre sans ancre	Escripre sans ancre	Writing without ink	corrosives		CONTAINS FIGURE							ancre;huile de soufre											
046v	p046v_5	Faire lettre a jour sur papier et aultre ouvrage	Faire lettre à jour sur papier et aultre ouvrage	Making a letter à jour on paper and other work	corrosives									papier							esponge;plume				
046v	p046v_6	Faire brusler les bottes a quelquun	Faire brusler les bottes à quelqu’un	Making someone’s boots burn	corrosives									huile											
046v	p046v_7	Sur pierre lettre noire	Sur pierre, lettre noire	On stone, black letters	corrosives;stones									pierre;huile											
047r	p047r_1	Pour les dents	Pour les dents	For teeth	medicine						dents;dent			Sel armoniac;Sel gemme;alum;eau;miel rosat;huile de girofle ou canelle	℥;demy ℥	girofle;canelle				mauvaise odeur	cornue	Pour les dents;le tartre & noirceur sen ira			
047r	p047r_2	Huile dantimoine	Huile d’antimoine	Antimony oil	metal process									Huile dantimoine;argent											
047r	p047r_3	Contre mal caducq ou vertige	Contre mal caducq ou vertige	Against falling sickness or vertigo	medicine						col			racine de pæonia		pæonia						Contre mal caducq ou vertige			
047r	p047r_4	Creusets	Creusets	Crucibles	metal process									gres;charbon;or;argent;laveures			bayonne								
047r	p047r_5	Contre diarrhoee et dysentherie	Contre diarrhoee et dysentherie	Against diarrhea and dysentery	medicine					boeuf	temples;creulx des mains;plante des pieds			conserve de symphitum;consolida maior;huile de cire;bouillon;racine de consolida maior pilee;boeuf	goutte;cuelleree	symphitum;consolida maior					cuelleree;pilee	Contre diarrhoee;dysentherie;Contre la diarrhoee;contre la dissenterie			
047v	p047v_1	Boisson ayant goust de vin	Boisson ayant goust de vin	A drink having a taste of wine	tricks and sleight of hand									vin;tartre des grands vaisseaulx;eau						goust					
047v	p047v_2	Fonte	Fonte	Founding	metal process									metal;cuivre;potin;letton;letton de chandeliers;letton de bassine;plomb;fumee;rosette;verre;luter;terre;verre pile	moictie;partye				verriers		moule;crusols pour fondre le metal;pour les verriers;luter;pile;crusols				
047v	p047v_3	Creusets	Creusets	Crucibles	metal process								temps humide	lutter					fondeurs		Creusets;lutter				
047v	p047v_4	Gect	Gect	Cast	casting									pierre ponce calcinee;or;metal	carats										
048r	p048r_1	Fondeur	Fondeur	Founder	metal process		CONTAINS FIGURE							metal					Fondeur		four				
048r	p048r_2	Guerir les chiens de la galle	Guerir les chiens de la galle	Curing dogs of mange	medicine					chiens				pilulle de præcipite;viande	grains;sepmaine;jours							Guerir les chiens de la galle			
048r	p048r_3	Excellente moustarde	Excellente moustarde	Excellent mustard	household and daily life									Excellente moustarde;pain;larde de girofle;Canelle;bon vin;estamine;graine de moustarde		moustarde;girofle;Canelle					four;estamine;pile				
048r	p048r_4	Garder oiseaulx et animaulx	Garder oiseaulx et animaulx	Keeping birds and animals	preserving					oiseaulx				toille;cotton;peau;toile;sel armoniac;							toille;moule faict de toile;four				
048v	p048v_1	Extraction de regulus	Extraction de regulus	Extraction of regulus	metal process						dos			regulus;antimoyne;savon noer;tartre de montpellier;boys;fer;savon;antimoine;salpestre;tartre pulverise	lb;demy lb;tiers;aultant dun que daultre		montpellier				pot de terre verny;broche de boys ou de fer;carreau;quarreau en platte;pot;crusol	fumee			
048v	p048v_2	Plomb Estaim	Plomb, estaim	Lead, tin	metal process;casting									Plomb;Estaim;estaim;plomb;antimoyne;estain de glace;estaim fin;estaim de glace;estain fin;cuivre rouge & doulx de chauldron;letton;estaim fin & doulx;estaim aigre;pierre;cuivre;estaim doulx;axunge de verre;metaulx;eau;aigre;estain;mabre;quarreau;estaim commun	lb;quintal;quarts				pintiers		moules de pierre;moule de cuivre;molle;mabre;quarreau				
049r	p049r_1	Gect de plomb	Gect de plomb	Casting of lead	casting					huitre			eglises	plomb;estaim;pierre;estain;fument;chandelle de rousine;antimoyne;estain de glace;plomb pur;cuivre;verre;rousine;souldure;fer;Coquille de fer huitre calcinee	lb;moictie;quart			Poncet	pintiers;vitriers		moulle;chandelle de rousine;poincons;moulle de cuivre				
049r	p049r_2	Sable pour gect de plomb	Sable pour gect de plomb	Sand for lead casting	casting									Sable;plomb;Cendres de paille de seigle;glaire doeuf;cuivre;letton		seigle					tamisee				
049r	p049r_3	Aultre	Aultre	Another	casting					seiche				Pierre ponce bruslee & calcinee;Os de seiche brusles & calcines;cendres de noyer ou de vigne;glaire doeuf	Aultant dun que daultre	noyer;vigne					tamisee				
049r	p049r_4	Pintiers	Pintiers	Pewterers	metal process									estaim fin;estaim de glace;estaim;estain;plomb;cuivre;pierre;terre;letton;chandelle de rousine;estain dou aigre	quintal;lb				Pintiers		moules destaim;moules de cuivre graves au burin ou en pierre ou en terre;burin;moules;moules destain;chandelle de rousine				
049v	p049v_1	Oyseaulx	Oyseaulx	Birds	animal husbandry					Oyseaulx;calendres;oiseaulx;calendre				sable gris de riviere	devant la sainct Michel			sainct Michel			espingle;plume bien poinctue			gaillardise	
049v	p049v_2	Graine de plomb	Graine de plomb	Grain of lead	metal process						doigts			plomb;eau	doigts;pas						carte;espingle;esguille;baston fendu;baston;plat;vaisseau;tamis				
049v	p049v_3	Oyseaulx	Oyseaulx	Birds	animal husbandry					Oyseaulx;benarris;tourterelles;tarins;benarrins			montaignes		apres la my Juillet jusques a la sainct Michel;despuys la toussaints jusques a Noël	avoyne;mil		sainct Michel							
050r	p050r_1	Garder fruict tout lan	Garder fruict tout l’an	Keeping fruit for the entire year	preserving;cultivation						main		dans une chambre ou il ny aye aulcune goutte dair & de vent;chambre bien close ou il ny entre point de vent ne dair;dans une cave;puys profond;cave	verre;eau chaulde;eau;cire noeufve;toile enciree;fruit;lutes;lut;chaulx vive;huile;eau de la pone;eau de riviere	espace de deux heures	cerises;prunes					ampoule de verre;table & bien unie;ampoulle;bouteille;tapon;lutes;lut;bouteilles;pone pleine deau;panier;poix				
050r	p050r_2	Mouler	Mouler	Molding	casting									papier;huile;suif;cire;soufre;plastre;tripoly;plomb;metal;carton;papier colle							papier;medaille;baston;pinceau;carton;papier colle				
050v	p050v_1	Oysillons	Oysillons	Small birds	animal husbandry					Oysillons;benarris;pincons;chardonnerets;passe solitaire;iraigne;calandre;oisillons;coquu;verdaule;oiseau;linotte			au serain;jardins	iraigne;mortier sec;chaulx;sable;amendes;mie;fort petit de mie de pain;graine de lettue;graine de chenevi;navette	une fois la sepmaine	lettue;laictues grainees;chenevi;amendes;navette					gluons;cages;piler				
050v	p050v_2	Acier corroye et limes	Acier corroyé et limes	Curried steel and files	tool								forges de foix;mine	Acier;acier;fer;fer fondu;barres de fer;fer commun;fer fort;acier purifie;eau;acier fin;le plus fin acier;fer fort doulx;bitum	petites billes		allemaigne;biscaye;foix;allemans;levantins		mareschaulx;ouvriers de fer;ouvriers		limes;pot				
051r	p051r_1	Contretirer	Contretirer	Counterproofing	printing									eau de savon;papier blanc;verre;huiles;papier;huile daspic & ou de tourmentine;huile;eau bien gommee;eau gommee;savon		aspic					dent;cul de verre;pinceau;plume;brunissouer				
051r	p051r_2	Tailleurs en planches	Tailleurs en planches	Cutters of printing plates	printing			continued						cuivre;bonne lessive;buee;ancre;huile de lin;huile de noix;boys;bois;papier;verres;noir descaille;cartons;pastes;lexive	bonnes heures	lin;noix			Tailleurs en planches		planches;planches de cuivre;rouleaus;planches de boys;planche de boys;mouchouer mouille;linge;pot				
051v	p051r_2				printing				continues		bout du doigt;main nue;urine		lieu descouvert;lieu ou la flamme ne puisse porter domaige	huile de noix;huile de lin;aulx;croustes de pain;noir de lampe;huile;marbre;ancre;papier blanc;papier;linge;vernis;tartre;huile de lin non bouilly;noir;fumee de lampe;noir mediocrement espes;lessive;feultre;foeille;foeultre;urine	partye	noix;lin;aulx			imprimeurs		marbre;planche;planches;foeille de papier blanc;papier;linge;bout du doigt;papier blanc;petite table unye;piece de feultre;foeilles de papier;servietes mouillees;foeultre;rolleaulx;rouleaux				
052r	p052r_1	OEuvre faicte en Argel	OEuvre faicte en Argel	The work done in Algiers	cultivation;alchemy			continued		poulain;chevaulx;vers de soye femelle;vers;serpent	urine;doigt;doigts		lieu chault & serre	segle;orge;paille;eau bonne de fontaine ou de riviere;eau des baings sulphures;senegre;fient;urine;verre;terre;oeufs de poule;jaulne;glaire;(germe);jaulnes;jaulnes doeufs;oeufs;graine de vers de soye femelle;lutte;fiens;jaulne doeuf;foeille dor;charbon	doigt;capacite dune buye ou broc de terre;demy once;demy lb;empan;doigts;lb	senegre	Argel;espaigne;argel	Sainct Jehan	ouvrier		un grand mattelas de verre;buye ou broc de terre;lutte;matteras;mattelas;bouteille				
052v	p052r_1				cultivation;alchemy				continues		bouche		au planche ou lair ou& le soleil le deseche	bon vinaigre;linge;soye;♁ fondu;☉ plus fin que laultre;plus vieux ♁;miel;vinaigre	℥;lb			sainct Jehan			pincettes;mortier	lexhalation en seroit dangereuse			
052v	p052v_1	Lin	Lin	Linseed	cultivation											Lin									
052v	p052v_2	Couleurs	Couleurs	Colors	painting									gomme;vin blanc;gomme dragant;dragant;sel blanc;eau claire					denlumineure		bouteille;bouche				
053r	p053r_1	Soulder un estoc	Soulder un estoc	Soldering a vise	tool									Soulder;soulder;liste de fer							estoc;ancrou;vis;marteau				
053r	p053r_2	Cuivre	Cuivre	Copper	metal process									Cuivre;fer											
053r	p053r_3	Gect de plomb	Gect de plomb	Casting of lead	casting					seiche				plomb;estain;sublime;os de seiche	moictie						os de seiche				
053r	p053r_4	Mouler de papier	Mouler de papier	Molding with paper	casting									papier;cendres;cotton;eau fort;sel ammoniac;eau regale;eau gommee											
053r	p053r_5	Amendiers abricots	Amendiers, abricots	Almond trees, apricots	cultivation											Amendiers;abricots;pavis;mericotons;alberges;amendier									
053r	p053r_6	Gect de plomb et cuivre	Gect de plomb et cuivre	Casting of lead and copper	casting					cheval;boeufs;mouton				plomb;cuivre;estaim;croye blanche;Celle de champaigne;os de cheval brusles & calcines;moele des cornes des boeufs;mouton;os spongieulx;os;metal aigre vient mieulx que le gras;sable maigre;le dense			champaigne;lyon								
053v	p053v_1	Vers de soye	Vers de soye	Silkworms	cultivation;animal husbandry			continued		Vers de soye;vers;formis noires;bombicum	main	s	chambre acommodee de trois ou 4 estages de tables larges;tonnerre ou temps pluvieulx couvert & frais;chambre;temps se porte chault & serain	soye;foeilles de moeurier blanc;foeilles fresches;encens;fumee;eau chaulde	once;lb;onces;fois le jour;jours	sapin;moeurier blanc;brande;bruyere	languedoc;espaigne;France;Albensis;cremonensis	Hieronymus Vida Albensis episcopus de b cremonensis	marchans		boite de sapin;coissins de plume;tables;rechauls & avecq charbon allume;main				
054r	p053v_1				cultivation;animal husbandry				continues	pigeon;vers;ver;papillon	ongle;doigt annulaire			filoselle;floret;soye	grandeur dun oeuf de pigeon;sepmaines;de la moictie;long comme le doigt annulaire;court de la moictie;jusques a la sepmaine saincte	brandes		saint Jehan			tables haultes;ongle;linge blanc				
054v	p054v_1	[Confitures sèches]	[Confitures sèches]	[On dry preserves]	preserving		CONTAINS FIGURE														tine;bastons;crible faict de fisselles;vaisseaulx;rechault;linceulx				
054v	p054v_2	Pour fayre suivre un cheval	Pour fayre suivre un cheval	For making a horse follow	animal husbandry					cheval				pain sucre											
054v	p054v_3	Chiens	Chiens	Dogs	household and daily life					Chiens				pelottes de gemme;pelottes					cordonniers						
054v	p054v_4	Pour desguiser un cheval	Pour desguiser un cheval	For disguising a horse	tricks and sleight of hand;animal husbandry					cheval				paille allumee							paille allumee				
054v	p054v_5	Bottes de foin	Bottes de foin	Boots of hay	household and daily life						jambes		pluye	foin;foing											
055r	p055r_1	Pour tirer dun schioppo senza rumore	Pour tirer d’un schioppo senza rumore	For firing a schioppo senza rumore	arms and armor					porceau	joincture du petit doigt			suin de porceau	joincture du petit doigt					petit siflement	douille;verge				schioppo
055r	p055r_2	Pour tremper bale qui faulcera et sera de difficile guarison	Pour tremper bale qui faulcera et sera de difficile guarison	For tempering a ball that will pierce and will make healing difficult	arms and armor									suin;fort vinaigre								sera de difficile guarison			
055r	p055r_3	Contre playes	Contre playes	Against wounds	medicine					poulet;chien				suc;herbe pillee qui sappelle semperviva;vermicularis		semperviva;vermicularis					pillee	Contre playes;quil ne mourra point		semperviva	
055r	p055r_4	Onenev elbirro tnaut is no ehcram rus enu elbat uo ueirse ueirtse	Onenev elbirro tnaut is no ehcram rus enu elbat uo ueirse ueirtse	Onenev elbirro hcihw sllik fi eno spets no a draob ro a ueirse purrits	medicine			continued		escargots;cheval			au soleil bien fort & au serain	verre;jaulne doeufs;bon vinaigre;fiens de cheval;jaulnes doeufs	espace de quinze jours						bouteille de verre;bouteille	Onenev elbirro;tnaut is no ehcram rus enu elbat uo ueirse ueirtse			
055v	p055r_4				medicine				continues				riviere;abre ou herbe qui soict au bort		jours						long baston				
055v	p055v_1	Aultre pour les eaulx	Aultre pour les eaulx	Another for waters	medicine;metal process					Tuaparc				eaulx;chaulx vive							top				
055v	p055v_2	Acier de damas	Acier de damas	Damascus steel	metal process					lumbris				Acier de damas;lumbris;foeille de reforts;eaulx	aultant dune que daultre	reforts									
055v	p055v_3	Pour cognoistre le chemin quon faict en plaine mer	Pour cognoistre le chemin qu’on faict en plaine mer	For knowing the course one takes on the open sea	household and daily life								en plaine mer;eau	ferlin;huile;eau	lieux										
055v	p055v_4	Pour gect	Pour gect	For casting	casting								pierrerer	croye;plomb;ponce;eau;estain	pars						pilant;tamis				
056r	p056r_1	Trempe excellente pour corps de cuirasse	Trempe excellente pour corps de cuirasse	Excellent tempering bath for cuirass bodies	metal process					pigeon;cheval	joinctees			eau de riviere;gaulde;eau;sel;terre grasse rouge;fiente de pigeon;terre;fiante de cheval;limaille de fer	picotins;grand chaulderon;joinctees;aultant de fiente de pigeon que de ladicte terre;aultant de fiante de cheval;aultant de limaille de fer;jours	gaulde					baston;muy;vaisseau;grand chaulderon;chaulderon				cuirasse
056r	p056r_2	Vernis pour destrempe	Vernis pour destrempe	Varnish for distemper	varnish									Vernis;destrempe;mabre;laque;rose de gand;croye;vin;colle;vernis;tourmentine claire de venise;huile daspic;vernis de tourmentine;vernis pur daspic		aspic	gand;venise								
056v	p056v_1	Painctre	Painctre	Painter	painting;varnish			continued					boutique	laque;floree;rosette de gand;mabre;croye;huile;ceruse;blanc de plomb;eau;azur desmail;yvoire;noeuds de sapin;poirier;noyer;boys;bois;scudegrun;azur;destrempe;toile		sapin;poirier;noyer	gand;Italiens;flaments		Celuy qui faict profession de travailler a huile		mabre;costeau;palettes;plume;pinceau				
057r	p056v_1				painting;varnish				continues				fumier	laque;huile;verre;cristallin;eau froide;eau;blanc de plomb;lame de plomb;fumier;vernis blanc de tourmentine ou dhuille daspic et de tourmentine;tourmentine;huille daspic;terra emerita;argent;aloe;lacque;salive;encre dimprimeur;velours;or de feuille;pouldre dor;vermillon;mabres;cendre commune;boys;croye;cerusse;toile;cendre;mie de gros pain;mabre		aspic;aloe	florence		imprimeur		fumier;mabres;vaisseau;pinceaulx;costeau;mabre				
057v	p057v_1	Gainier	Gainier	Sheath maker	arms and armor					daigneaulx;chevreaulx			lieux humides	petites peaulx daigneaulx et chevreaulx fort deliees;parchemin;terre grasse fine;terre;cuyr;noir de couperose;estaille de fer;taincture;cuir;colle;toille;colle forte;fer	grosseur dun poix	poix			Gainier;Gainiers;taneurs		petite tablette unye;presse;fer chault				
057v	p057v_2	Painctre	Painctre	Painter	painting			continued					temps humide	Croons;colle;laict de femme;carton;rousine fondue fort delayee et claire;cuyvre;huille;blanc de plomb;ceruse;huille de noix;huille damendes;peau des noix		noix;amendes	venise;flamens		Painctre		Croons				
058r	p057v_2				painting				continues		joues;joue;urine			huille;blanc de plomb;ceruse;laque de florence;laque;purpurin;alum;cotton;toile de cambray;cristallin;eau;huile;aspalthe;huile daspic;huile de noix;verd de gris;orpiment;urine		aspic;noix	florence;flandres;cambray				cotton;toile de cambray	dames se voulant colorer les joues			
058v	p058v_1	Noirs	Noirs	Blacks	painting					boeufs				noir de charbon de mine;charbon commun;ivoyre brusle;noyaux de pesches;fumee de lampe;os de pied de boeufs brusles		pesches									
058v	p058v_2	Ombres	Ombres	Shadows	painting																				
058v	p058v_3	A fresc	A fresc	In fresco	painting									azur;boys							longs pinceaux				
