folio	div_id	heading_tc	heading_tcn	heading_tl	categories	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu	df	wp
083v	p083v_3	Souflets	Souflets	Bellows	tool;metal process								en lieu aire;vent	charbon							Souflets;souflets;fourneau;grille;four a vent;four;tuelle				
084r	p084r_1	Masque in promptu	Masque in promptu	Impromptu mask	casting									papier											
084r	p084r_5				casting				continues				lieu sec	mabre							four;moule;pile;tamise				
084r	p084r_3	Eau magistra	Eau magistra	Eau magistra	casting								cave	Eau magistra;sel gemme;sel;suin de verre subtilement pulverise;mabre;huile de tartre							mabre;moule				
084r	p084r_4	Farine	Farine	Flour	casting									Farine											
084r	p084r_5	Sable de mine de Thoulouse	Sable de mine de Thoulouse	Sand from a mine in Thoulouse	casting			continued					mine de Thoulouse;au costau de puy david bien profond en terre	Sable de mine de Thoulouse;sable de thoulouse;suin de verre pulverise;verre pile;seables;eaulx des susdicts sels;sable naturel;cuivre;fume			Thoulouse;thoulouse;puy david				pile;chauldiere de cuivre				
084v	p084v_1	Sable	Sable	Sand	casting					boeuf	doigts			Sable;os de pieds de boeuf fort brusle & pulverise;porphire;vin bouilly avecq racine dorme;mache de fer;os de pieds de boeuf fort brusle;feultre aussy fort brusle;plomb;feultre;sables;sable gras;metal gras;sable maigre		orme				ne se sente point entre les doigts	porphire;doigts;chassis				
084v	p084v_2	Eau magistra	Eau magistra	Eau Magistra	casting					huitres				Eau magistra;eau sel;sel;vin bouilly avecq racine dorme;charbon pour poncer;celuy de saule;celuy de chaisne ou fayan;huitres bruslees		orme;saule;chaisne;fayan									
084v	p084v_3	Plomb	Plomb	Lead	casting									Plomb;plomb doux;estaing douls											
084v	p084v_4	Sable pour le plomb le plus excellent de tous pour grand relief et petit	Sable pour le plomb le plus excellent de tous pour grand relief et petit	Sand for lead, the most excellent of all, for high and low reliefs	casting			continued						Sable;plomb;ceruse;porphire;glaire doeuf fort battue							porphire;costeau				
085r	p084v_4				casting				continues	pourceau	doigts		mine	sable;huile;linge;sayettes de pourceau;huile de noix clair;ceruse;eau de glaire doeuf;bons sables;feultre;os brusle;mache de fer;mabre;sables;eau;glaire;eau gommee;vin;racine dorme;huiler;verre;plomb doux;estaim aigre;sable maigre;ponce;lescaille;sables maigres;metal;minium;Huile;huile daspic;celuy de mine		noix;orme;aspic					table bien nette & unie;doigts;costeau;linge;sayettes de pourceau;moule;chassis;pilon				
085r	p085r_1	Vernis vert pour les medailles de cuivre	Vernis vert pour les medailles de cuivre	Green varnish for medals of copper	varnish;casting									Vernis vert;cuivre;sel de verre;sable;huile;fient	jours										
085r	p085r_2	Colle	Colle	Glue	household and daily life;decorative									Colle;terre;minium;massicot;vernis			flamens				pots de terre				
085v	p085v_1	Fondeur	Fondeur	Founder	casting									glaire doeufs battue;terre de quoy ilz font la premiere couche de la chappe de pieces & cloches & toutes aultres pieces;glaire;rosette;plomb					Fondeur		moule				
085v	p085v_2	Mortiers	Mortiers	Mortars	tool								mayson particuliere	cuivre de chauldron;rosette;cuivre fin;metal;fin metal					apothiquaires	sonnent;menent;sonans	Mortiers;mortiers;piler				grenades
085v	p085v_3	Sable de mine	Sable de mine	Sand from the mine	casting								mine	Sable de mine;grands metaulx;porphire;aspalte;tripoly;feultre brusle							four;porphire				
085v	p085v_4	Sables experimentes	Sables experimentés	Experimented sands	casting			continued				sols	mine	Sables experimentes;sable de Thoulouse;porphire;vin boully avecq racine dorme;sable de mine;metal	espesseur dune piece de quarante sols	orme	Thoulouse	Jesus	apothiquaires		poilonne;subtil tamis;double des apothiquaires;porphire				
086r	p085v_4				casting			continued	continues	boeuf	doigts			matiere de poelone;potin;charbons;metalline;matiere de poelonne;sable;os de pied de boeuf brusle pulverise;glaire doeuf;vin bouilly avecq racine dorme;sable dos;os pulverise;ceruse;metal;plomb;cuivre;letton;grands metaulx;Lutte;fer;os		orme					chassis;forneau;tamise;double tamys;moules;doigts;Lutte;pile;mortier				
086v	p085v_4				casting				continues				hors du vent	sable;metal;carte;papier	espesseurs de papier						moule;carte;papier				
086v	p086v_1	Sable excellent pour plomb estain et cuivre	Sable excellent pour plomb, estain, et cuivre	Excellent sand for lead, tin, and copper	casting		CONTAINS FIGURE	continued					mine	Sable excellent pour plomb estain et cuivre;plomb;estain;cuivre;os brusle;mache de fer;feultre brusle;mabre;glaire doeuf battue;sable de mine;☾;vieulx K;sable;plomb doux;potin de seringue;fin laitton;letton	nuit;heures;moictie					sonante	mabre;chassis;moule				
087r	p086v_1				casting				continues		doigt			letton;cuivre;sable;metail;carton;terre;fin sable de gect					fondeurs	sonner	chassis;crusol;fourneau a souflets;four a vent;moule;carton;moules;doigt				
087r	p087r_1	Sable de Thoulouse	Sable de Thoulouse	Sand from Thoulouse	casting								vigne;vigne qui est bien haulte	Sable de Thoulouse;celuy qui se trouve en une vigne de puy david;celuy du touch pres de Sainct Michel & vers blagnac En une vigne qui est bien haulte			Thoulouse;puy david;touch;Sainct Michel;blagnac								
087v	p087v_1	Sable ardoise et terre bruslee	Sable, ardoise, et terre bruslée	Sand, slate, and burned earth	casting									Sable;ardoise;terre bruslee;sable fort brusle;sable gras;sables fort subtilies											
087v	p087v_2	Magistra	Magistra	Magistra	casting									Magistra;racine de jeune orme;vin;vinaigre		orme			fondeurs		barriquet				
087v	p087v_3	Sable de mine de Thoulouse	Sable de mine de Thoulouse	Sand of the mine of Thoulouse	casting						ongle		mine;bas en terre;en hault	Sable de mine de Thoulouse;sable de gect venant de mine;gemme fondue;fer;porphire;glaire doeuf battue;plomb;estaim;terre;glaire doeuf passe par lesponge;vinaigre;glaire;eau sel;vin;sables;rocher;plomb pur			Thoulouse				double tamis;porphire;ongle;mortier;esponge				
088r	p088r_1	Visme	Visme	Osier	cultivation											Visme;ronce									
088r	p088r_2	Mortiers	Mortiers	Mortars	tool									cuivre fin;fer;metal							Mortiers;mortiers de cuivre fin;pilon de fer;mortier;grands mortiers				
088r	p088r_3	Vernis	Vernis	Varnish	varnish									Vernis;Huile de tormentine;Tormentine;bonne eau de vye							sur le rechault;costeau				
088r	p088r_4	Hanter	Hanter	Grafting	cultivation																				
088r	p088r_5	Boulangier	Boulangier	Baker	household and daily life									poulsiere;bled;cendres;grosse toile;canevas		bled			Boulangier		tamis;belluteau de grosse toile ou canevas				
088r	p088r_6	Estain de glace	Estain de glace	Looking-glass tin	casting									Estain de glace											
088v	p088v_1	Sable de sel gemme pulverise et sable de mine subtilie sur le mabre	Sable de sel gemme pulverisé et sable de mine subtilié sur le mabre	Sand from pulverized rock salt and sand from the mine finely ground on marble	casting								mine;cave;a lhumide	Sable de sel gemme pulverise;sable de mine;mabre;porphire;papier;sel gemme;sel	nuict						mabre;piles;mortier;porphire;double tamis;manche de chemise;papier				
088v	p088v_2	Sable mineral	Sable mineral	Mineral sand	casting						mains		pierriere;roche;nature	Sable mineral;pierre;eau;porphire;bourre;plomb;cuyvre;sables gras;metal;sables artificiels;bled orbere;bled en farine		bled orbere;bled			artisans qui travaillent en grand ouvrage	frangible entre les mains	mains;tamis;porphire;chassis				
089r	p089r_1	Sable dos de boeuf brusle et sal gemme	Sable d’os de boeuf bruslé et sal gemme	Sand of burnt ox bones and rock salt	casting					boeuf			serain de la nuit;humeur de la cave	Sable dos de boeuf brusle et sal gemme;porphire;papier;estain doulx;estaim;plomb fin;os de pied de boeuf;sable gras;tripoly;sels;foeultre;cendres	aultant dun que daultre						porphire;papier;serviette				
089r	p089r_2	Recuire ou essuyer un chassis moule	Recuire ou essuyer un chassis moulé	Reheating or drying a molded frame	casting																chassis				
089r	p089r_3	Sable naturel	Sable naturel	Natural sand	casting									Sable naturel;plomb;estaim											
