XPath Location,folio,id,link
/root[1]/div[1]/ab[1]/figure[1],p125r,fig_p125r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5bDlqQzJZemktSFk
/root[1]/div[2]/ab[1]/figure[1],p127r,fig_p127r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5ZFFkT3I4Vmx2em8
/root[1]/div[1]/figure[1],p127v,fig_p127v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5S2VzRmhYUWpfbmc
/root[1]/div[4]/ab[2]/figure[1],p129v,fig_p129v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5Sk9tdno1ODBqdms
/root[1]/div[1]/ab[2]/figure[1],p130r,fig_p130r,https://drive.google.com/open?id=0B9-oNrvWdlO5cHVsNnNVQ1l5RnM
/root[1]/div[2]/figure[1],p133r,fig_p133r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5V2JZcWtNeEJmYWs
/root[1]/div[2]/figure[1],p135r,fig_p135r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5U3BqOGxwTHNPeVk
/root[1]/div[3]/figure[1],p137r,fig_p137r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5aG5XMHdYTTYzbzA
/root[1]/div[1]/ab[2]/figure[1],p140r,fig_p140r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5NFdsdU4tVFgxOTg
/root[1]/div[1]/figure[1],p141v,fig_p141v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5R0NIbHoyNTNQRlk
/root[1]/div[1]/figure[1],p142r,fig_p142r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5Qkh2MDhvUkFnUW8
/root[1]/div[3]/ab[2]/figure[1],p143r,fig_p143r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5cnJFVXFaRURaY3c
/root[1]/div[1]/figure[1],p144r,fig_p144r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5emg1MXZLREtSRk0
/root[1]/div[1]/figure[2],p144r,fig_p144r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5ZkN6Y3ZTM1pKRG8
/root[1]/div[1]/figure[1],p144v,fig_p144v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5ZGhySWFITlRSaG8
/root[1]/div[1]/figure[2],p144v,fig_p144v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5SlhGM2FYLUUteXc
/root[1]/div[1]/figure[1],p145r,fig_p145r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5MXRaSldvRzY2UTg
/root[1]/div[2]/ab[1]/figure[1],p145r,fig_p145r_2,https://drive.google.com/file/d/1-NGCS8NDm7NI4xFQ9ZF058I9vEhQRBuQ/view?usp=sharing
/root[1]/div[2]/figure[1],p145v,fig_p145v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5b1FOQ1Z5b1J3TWc
/root[1]/div[1]/figure[1],p146v,fig_p146v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5bUk2c1E3LWtOTDA
/root[1]/div[1]/figure[2],p146v,fig_p146v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5WGEzek5peHJ6VDA
/root[1]/div[1]/ab[2]/figure[1],p150v,fig_p150v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5eVVJSjUwSFhpUzg
/root[1]/div[1]/ab[2]/figure[2],p150v,fig_p150v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5SUk5cUNtNnpqbXc
/root[1]/div[1]/ab[2]/figure[1],p151r,fig_p151r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5dEhadHEzVWlxejg
/root[1]/div[1]/figure[1],p151v,fig_p151v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5bk1US2QxRTVwa2s
/root[1]/div[1]/figure[1],p152v,fig_p152v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5S3NpRV82clA2UVE
/root[1]/div[1]/figure[2],p152v,fig_p152v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5cWhfVmhvbWszZlE
/root[1]/div[1]/figure[1],p153v,fig_p153v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5czR5TF9scDhsSG8
/root[1]/div[1]/ab[2]/figure[1],p153v,fig_p153v_2,https://drive.google.com/open?id=0B9-oNrvWdlO5c3FRZnZSMnU1Njg
/root[1]/div[1]/figure[1],p155r,fig_p155r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5b3lFZ18wbGducEk
/root[1]/div[1]/ab[5]/figure[1],p156v,fig_p156v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5VjFPeWlJc05CbDQ
/root[1]/div[2]/figure[1],p159v,fig_p159v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5LXNkdWdBLXZ1RVk
/root[1]/div[1]/figure[1],p160r,fig_p160r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5ZDNJT25PWjlUbGM
/root[1]/div[1]/figure[2],p160r,fig_p160r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5MEUzMjhxUVl1ZTA
/root[1]/div[2]/figure[1],p163v,fig_p163v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5anJvd0FQQ3BkRFE
/root[1]/div[6]/figure[1],p165v,fig_p165v_1,https://drive.google.com/open?id=0B9-oNrvWdlO5UmhqY1RkWFRhYzg
/root[1]/div[1]/figure[1],p167r,fig_p167r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5QTU2dDJtWHU5Nmc
/root[1]/div[1]/ab[1]/figure[1],p167r,fig_p167r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5OUZCVWpfdmlzbWc
/root[1]/div[1]/figure[1],p168r,fig_p168r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5RUdzVWVNM3l6QVU
/root[1]/div[2]/figure[1],p169v,fig_p169v_3,https://drive.google.com/open?id=0B9-oNrvWdlO5MGtBY2MyYTNKTUE
/root[1]/div[7]/ab[1]/figure[1],p170r,fig_p170r_2,https://drive.google.com/open?id=0B9-oNrvWdlO5amQ1YVRWWnFGWUE
/root[1]/div[7]/ab[2]/figure[1],p170r,fig_p170r_1,https://drive.google.com/open?id=0B9-oNrvWdlO5S3FNaEt0QmN1alU
/root[1]/div[1]/ab[3]/ups[2]/figure[1],p170v,fig_p170v_2,https://drive.google.com/open?id=1MayV4ZIaGElXC-ztkjtbKF9pZw6sTZle
