31 lb,,31 lb,,18 m
18 m,,18 m,,1 ms
1 ms,,1 ms,,2 pa
2 pa,,2 pa,,1 root
1 root,,1 root,,14 tl
14 tl,,14 tl,,
ms-xml/tc/tc_p092r_preTEI.xml,,ms-xml/tcn/tcn_p092r_preTEI.xml,,ms-xml/tl/tl_p092r_preTEI.xml
7 ab,,7 ab,,7 ab
4 del,,4 del,,2 comment
4 div,,4 div,,4 del
1 emph,,1 emph,,4 div
5 exp,,5 exp,,1 emph
4 head,,4 head,,3 fr
23 lb,,23 lb,,4 head
24 m,,24 m,,25 m
8 ms,,8 ms,,7 ms
1 pro,,1 pro,,2 pro
1 root,,1 root,,1 root
5 tl,,5 tl,,5 tl
2 underline,,2 underline,,1 underline
ms-xml/tc/tc_p092v_preTEI.xml,,ms-xml/tcn/tcn_p092v_preTEI.xml,,ms-xml/tl/tl_p092v_preTEI.xml
5 ab,,5 ab,,5 ab
3 al,,3 al,,3 al
1 comment,,1 comment,,1 comment
1 del,,1 del,,1 del
3 div,,3 div,,3 div
2 env,,2 env,,2 env
6 exp,,6 exp,,1 fr
3 head,,3 head,,3 head
1 la,,1 la,,1 la
18 lb,,18 lb,,27 m
27 m,,27 m,,7 ms
7 ms,,7 ms,,1 pro
1 pro,,1 pro,,1 root
1 root,,1 root,,4 tl
4 tl,,4 tl,,1 tmp
1 tmp,,1 tmp,,
ms-xml/tc/tc_p093r_preTEI.xml,,ms-xml/tcn/tcn_p093r_preTEI.xml,,ms-xml/tl/tl_p093r_preTEI.xml
10 ab,,10 ab,,10 ab
1 bp,,1 bp,,1 bp
4 del,,1 corr,,4 del
5 div,,5 del,,5 div
8 env,,5 div,,8 env
4 exp,,7 env,,3 fr
5 head,,4 exp,,5 head
16 lb,,5 head,,9 m
9 m,,16 lb,,2 md
2 md,,9 m,,1 ms
1 ms,,2 md,,3 pa
3 pa,,1 ms,,1 pro
1 pro,,3 pa,,1 root
1 root,,1 pro,,1 sn
1 sn,,1 root,,1 tl
1 tl,,1 sn,,3 tmp
3 tmp,,1 tl,,
,,3 tmp,,
ms-xml/tc/tc_p093v_preTEI.xml,,ms-xml/tcn/tcn_p093v_preTEI.xml,,ms-xml/tl/tl_p093v_preTEI.xml
3 ab,,3 ab,,3 ab
1 add,,1 add,,1 add
1 comment,,1 comment,,1 comment
6 del,,1 corr,,6 del
3 div,,7 del,,3 div
1 env,,3 div,,1 env
4 exp,,1 env,,1 figure
1 figure,,4 exp,,4 fr
3 head,,1 figure,,3 head
31 lb,,3 head,,26 m
26 m,,31 lb,,2 pro
2 pro,,26 m,,1 root
1 root,,2 pro,,9 tl
9 tl,,1 root,,
,,9 tl,,
ms-xml/tc/tc_p094r_preTEI.xml,,ms-xml/tcn/tcn_p094r_preTEI.xml,,ms-xml/tl/tl_p094r_preTEI.xml
4 ab,,4 ab,,4 ab
1 add,,1 add,,1 add
3 al,,3 al,,3 al
2 bp,,2 bp,,2 bp
1 cn,,1 cn,,1 cn
5 comment,,2 comment,,15 comment
10 del,,1 corr,,1 corr
7 df,,11 del,,10 del
1 div,,7 df,,7 df
1 env,,1 div,,1 div
2 exp,,1 env,,1 env
1 figure,,2 exp,,1 figure
1 head,,1 figure,,7 fr
37 lb,,1 head,,1 head
29 m,,37 lb,,30 m
3 ms,,29 m,,3 ms
1 pro,,3 ms,,1 pro
1 root,,1 pro,,1 root
3 tl,,1 root,,4 tl
1 tmp,,3 tl,,1 tmp
2 ups,,1 tmp,,
,,8 wp,,
