folio	div_id	heading_tc	heading_tcn	heading_tl	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu
160r	p160r_1	Presse pour les grands moules	Presse pour les grands moules	Press for the large molds		CONTAINS FIGURE							fer;bois				Sainct Andre			Presse;moules;lamines de fer;piliers de fer;piliers;vis;lamines;chassis;lames de fer;coings;presses de bois faictes a vis;forge;moule;estrier;cloue;platene;presse		
160r	p160r_2	Sable pour fleurs	Sable pour fleurs	Sand for flowers									eau;glaire doeuf							moule;pallette		
160v	p160v_1	Mouler un pied ou main	Mouler un pied ou main	Molding a foot or hand									rousine;cire;eau chaulde;urine;plastre									
160v	p160v_2	Ouvraige subtil dor et dargent	Ouvraige subtil d'or et d'argent	Delicate work of gold or of silver					mouches				or;argent;souldure;plomb;estain;esmailler									
160v	p160v_3	Prendre escrevisses	Prendre escrevisses	Catching crayfish					escrevisses;boeuf;moutton			eau ou les escrevisses se nourrissent;eau	foye ou poulmon de boeuf ou moutton;eau;chair							baston;corde;panier		
160v	p160v_4	Prendre passereaulx	Prendre passereaulx	Catching passerines		CONTAINS FIGURE			passereaulx			pailles;maison;nuit soict obscure & ne fasse point de ☾	pailles;chandelle							chandelle		
160v	p160v_5	Prendre oiseaulx	Prendre oiseaulx	Catching birds		CONTAINS FIGURE			oiseaulx;mouche;vers				toile de bourre					ayes quelquun qui chante		four		
161r	p161r_1	Praeparation du sable pour chassis	Praeparation du sable pour chassis	Preparing sand for box molds		CONTAINS FIGURE							gip de lateribus;alume jameni;moules;eau claire;ordures;eau;gip mat;or bruny;ordure;eau de sel armoniac;sel armoniac;litarge;pierres;terre	jours				tuilier		chassis;table;billot;tamise;pots;four du tuilier;four a pain;vaisse;semal;vaisseau;baston;escuelle;esponge;four de reverberation		
161v	p161v_1	Crocum ferri	Crocum ferri	Crocum ferri						doigts			Crocum ferri;limaille;fer;vinaigre;mabre;minium;bol;limaille rouillee	doigts;jour						caisse de fer;four de reverberation;mabre;palle de fer		
162r	p162r_1	Pour la boutique	Pour la boutique	For the workshop		CONTAINS FIGURE					talentorum	boutique	aureas;or;ferro;ferri;compactile ferrum;fer;soulde	talentorum		portugais;phoeniciens;mer rouge;coste de graece;argos;aegipte;assyrie;grecs;coste de colchos;fleuve phasis;delphe;delphos;delphis	herodote;Herodote;Medee;Gyges;Halyattes;croesus;Glauci Chii	contreporteurs;lecteurs				
162r	p162r_2	Aes ustum	Aes ustum	Aes ustum		CONTAINS FIGURE							Aes ustum;graisse;Crocum									
162r	p162r_3	Boys pourry	Boys pourry	Rotten wood									Boys;Celuy qui est blanc leger comme une esponge estant brusle;plomb							chassis		
162v	p162v_1	Peschers	Pescher	Peach tree								gelee;froid		lhiver;lhyver	Peschers							
162v	p162v_2	Oliviers	Oliviers	Olive trees									terre	lhiver;leste	Oliviers	espaigne						
162v	p162v_3	Pied de Butor	Pied de butor	Foot of bittern					Butor					jours								
162v	p162v_4	Moules de choses qui ne sont en despouille	Moules de choses qui ne sont en despouille	Molds of things which have not been pelted									argent vif;plume;cendres;crasse							tuyau de plume;moule;crampons		
163r	p163r_1	Parfumeur	Parfumeur	Perfume maker						doigt;mains		cuillere dargent quon sert a table	ambre;musc;civette;amydon dangleterre;ambre blanc;argent;huile de fleur;huile de ben;ambre gris;huile	moictie;cuillere;grosseur dun pinon		angleterre;portugal		Parfumeur	senteur	petite escuelle dargent;cuillere;cuillere dargent;gands;bout du doigt;gand		
