folio	div_id	heading_tc	heading_tcn	heading_tl	margin	has_figures	continued	continues	al	bp	cn	env	m	ms	pa	pl	pn	pro	sn	tl	md	mu
041v	p041v_3	Couleurs et doreure sur le verre	Couleurs et doreure sur le verre	Colors and gilding on glass						halene			doreure;verre;eau gommee;argent;or;gomme;papier;safran;massicot		safran							
042r	p042r_1	Fondeur	Fondeur	Founder									terre;metal;pouldre de charbon					Fondeur		moule de terre		
042r	p042r_2	Cire a cachet et empraincte	Cire à cachet et empraincte	Wax for seal and imprint						mains			Cire;cire;eau tiede;eau;papiers;papier;argenter;couleurs a vernis;verre;couleurs a tourmentine & mastic;gomme armoniac;vinagre							baston;pilon;moule;colle		
042r	p042r_3	Pour gecter de plastre	Pour gecter de plastre	For casting in plaster									plastre;cire							broisse		
042v	p042v_1	Poncis pour esgratigner sur le satin	Poncis pour esgratigner sur le satin	Pounced design for scratching satin									satin;farine;croye broyee;glaire;laict;escorce de figuier;eau;verre		figuier					lopin de verre;trancheplume		
042v	p042v_2	Toile pour paindre a huile sans se rompre	Toile pour paindre à huile sans se rompre	Canvas for painting in oil without breaking									huile;miel;eau;farine									
042v	p042v_3	paindre a huile sur taffetas qui	Paindre à huile sur taffetas qui	Painting inoil on taffeta which									huile;taffetas;miel;eau dalum;eau damydon									
042v	p042v_4	Sable de gect	Sable de gect	Sand for casting									Sable de gect;mabre;albastre calcine							mabre		
042v	p042v_5	Pour pourfiler un portraict	Pour pourfiler un portraict	For tinseling a picture									laque;huile dolif		olif							
042v	p042v_6	Vernis blanc sur le plastre	Vernis blanc sur le plastre	White varnish on plaster						mains			Vernis blanc;plastre;colle bien blanche;vernis de sandarache huile daspic et un peu de mastic;sandarache;huile daspic;mastic;huile	mains	aspic					vaisseau;pinceau		
043r	p043r_1	Mericotons et pavis	Mericotons et pavis	Mericotons and pavis											Mericotons;pavis							
043r	p043r_2	Bronzure blanche sur plastre	Bronzure blanche sur plastre	White bronzing on plaster									plastre;colle;mine dangleterre;plomb brusle;gomme;cotton;plomb;minium;argent vif			angleterre		painctres				
043r	p043r_3	Purpurine	Purpurine	Purpurine						ditto			Purpurine;stagno;☿;porfidio;sal armoniaco;solfo;vetro;negro di resina;colla;vernice;purpurina	meza onca;℥;hora				pintori		cochiaro;sublimatorio di vetro;ditto		
043r	p043r_4	Bronzure blanche	Bronzure blanche	White bronzing						doigt			colle;vernis;mine dangleterre;mine;plomb			angleterre				pinceau;doigt		
043v	p043v_1	Vin diversifie et transmue	Vin diversifié et transmué	Varied and transmuted wine									Vin diversifie et transmue;bresil;eau claire;eau taincte;vin;just de citron ou dorange	heures;goute	bresil;citron;orange							
043v	p043v_2	Perles	Perles	Pearls									Perles;talc pulverise							lampe		
043v	p043v_3	Harquebusier	Harquebusier	Arquebusier									pouldre					Harquebusier				
043v	p043v_4	Dragee dharquebus	Dragee d'harquebus	Hail-shot of the arquebus									feultre;cuir;papier							porte piece		
044r	p044r_1	Portee dharquebus	Portée d’harquebus	The range of an arquebus									pouldre;balle	pieds de roy;deniers;pans;pieds;poulces;aulne;pas		paris						
044r	p044r_2	Pintier	Pintier	Pewterer								villes ou sont les Maistres jures	plomb;estaim;estaim de glace;mitraille;retailles de cuivre que font les chaudroniers;cuivre;estaim commun	lb;quintal				Pintier;Maistres jures;chaudroniers	sonner			
044r	p044r_3	Harquebus	Harquebus	Arquebuse									huile;linge;papier	huict en huict jours								
044r	p044r_4	Laque	Laque	Lake									Laque;papier	heures								
044r	p044r_5	Taincture de fleurs	Taincture de fleurs	Dyes from flowers									Taincture de fleurs;pavot rouge;cuir blanc;boufain;herbe qui croist par les hayes qui ha la tige semblable au lin la foeuille longue & large comme menue buglose qui ha la fleur violette tirant au bleu & faicte comme la fleur du lys;colombine;fleur de buglose;pensee		pavot rouge;bleds;boufain;lin;buglose;lys;colombine;pensee							
044v	p044v_1	Tamis de poil de cheval	Tamis de poil de cheval	Horsehair sieves					cheval	bouche;doitgs	sols		poil de cheval;poil de la queue de cheval;lessive;poil;poils;estamine de soye	large de ii ou trois doitgs;douzaines;sols		coustance;normandie;Thoulouse;espaigne				bouche;lame;lames;petit baston plat		
044v	p044v_2	Excellente eau contre la peste / de monsieur de montorsin	Excellente eau contre la peste, de monsieur de Montorsin	Excellent water against the pest by Monsieur de Montorsin									eau;Theriaque;rue;dictam;bon vinaigre;verre	jours	rue;dictam		monsieur de montorsin			bouteille de verre;quarreau rouge enflamme		
044v	p044v_3	Huile blanc somnifere	Huile blanc somnifere	White soporific oil						plante des pieds			Huile blanc somnifere;pommes de Mandragore;huile dolif;verre;huile	jours	Mandragore;olif					phiol;bouteille de verre		
044v	p044v_4	Stuc	Stuc	Stucco									Stuc;coller;pierre;gemme;poix;resine noire;rousine;soufre;cire;brique pilee;croye blanche;pierre blanche pilee & pulverisee & tamisee	aultant que dun que daultre &								
045r	p045r_1	Charger arquebus de dragee	Charger arquebus de dragée	Loading an arquebus with a hail shot		CONTAINS FIGURE				doigts			dragee;buys;papier;carte;feultre;toile ciree;cuir;papier cire	long comme la largeur de 4 ou 5 doigts;fort comme de grands livres imprimes;large aultant que tu vouldras faire longue une cartuche;pas						baston;portepiece		
045v	p045v_1	Charger arquebus	Charger arquebus	Loading an arquebus		CONTAINS FIGURE							pouldre									
045v	p045v_2	Pour adjouster un canon faulce	Pour adjouster un canon faulcé	How to adjust a bent gun barrel																filet;marteau		
046r	p046r_1	Pour les dents huile de soufre	Pour les dents, huile de soufre	For the teeth oil of sulfur						dents;bouche			huile de soufre;eau fort;huile de girofle;miel rosat;cotton;huiles;eau tiede	coquille de noix;goutes	girofle;noix					coquille de noix;petit burin		
046r	p046r_2	Huile de froment	Huile de froment	Wheat oil									Huile de froment		froment							
046r	p046r_3	Contre mal caducq	Contre mal caducq	Against the falling sickness					corbeau				oeufs frais dun corbeau;gentiane en pouldre;huile de soufre	espace de 4 ou cinq matins;goutte	gentiane							
046r	p046r_4	Contre goutes froides	Contre goutes froides	Against cold gouts									Huile de gayac & de soufre		gayac							
046r	p046r_5	Go Fleurs dabres	Go Fleurs d’abres	Go Flowers of trees		CONTAINS FIGURE																
046v	p046v_1	Escrivain huile de soufre	Escrivain, huile de soufre	Scribe, Oil of sulfur									huile de soufre;ancre				Escrivain	escrivain		plume		
046v	p046v_2	Cordonnier	Cordonnier	Shoemaker									cuir noir;huile de soufre					Cordonnier		plume a escripre		
046v	p046v_3	Effacer lettre	Effacer lettre	Erasing a letter									huile de soufre recent & bon;parchemin							plume a escripre;plume		
046v	p046v_4	Escripre sans ancre	Escripre sans ancre	Writing without ink		CONTAINS FIGURE							ancre;huile de soufre									
046v	p046v_5	Faire lettre a jour sur papier et aultre ouvrage	Faire lettre à jour sur papier et aultre ouvrage	Making letters à jour on paper and other work									papier							esponge;plume		
046v	p046v_6	Faire brusler les bottes a quelquun	Faire brusler les bottes à quelqu’un	Making someone's boots burn									huile									
046v	p046v_7	Sur pierre lettre noire	Sur pierre, lettre noire	On stone black letters									pierre;huile									
047r	p047r_1	Pour les dents	Pour les dents	For teeth		CONTAINS FIGURE				dents;dent			Sel armoniac;Sel gemme;alum;eau;tartre;miel rosat;huile de girofle ou canelle	℥;demy ℥	girofle;canelle				mauvaise odeur	cornue		
047r	p047r_2	Huile dantimoine	Huile d’antimoine	Antimony oil									Huile dantimoine;argent									
047r	p047r_3	Contre mal caducq ou vertige	Contre mal caducq ou vertige	Against falling sickness or vertigo						col			racine de pæonia		pæonia							
047r	p047r_4	Creusets	Creusets	Crucibles									gres;charbon;or;argent;laveures			bayonne						
047r	p047r_5	Contre diarrhœe et dysentherie	Contre diarrhœe et dysentherie	Against diarrhea and dysentery					boeuf	temples;creulx des mains;plante des pieds			conserve de symphitum;consolida maior;huile de cire;bouillon;racine de consolida maior pilee;boeuf	goutte;cuelleree	symphitum;consolida maior					cuelleree		
047v	p047v_1	Boisson ayant goust de vin	Boisson ayant goust de vin	A drink having a taste of wine									vin;tartre des grands vaisseaulx;eau						goust			
047v	p047v_2	Fonte	Fonte	Founding									metal;cuivre;potin;letton;letton de chandeliers;letton de bassine;plomb;rosette;verre;terre;verre pile	moictie;partye				verriers		moule;crusols pour fondre le metal;pour les verriers;crusols		
047v	p047v_3	Creusets	Creusets	Crucibles								temps humide						fondeurs		Creusets		
047v	p047v_4	Gect	Gect	Cast									pierre ponce calcinee;or;metal	carats								
048r	p048r_1	Fondeur	Fondeur	Founder		CONTAINS FIGURE							metal					Fondeur		four		
048r	p048r_2	Guerir les chiens de la galle	Guerir les chiens de la galle	Curing dogs of mange					chiens				pilulle de præcipite;viande	grains;sepmaine;jours								
048r	p048r_3	Excellente moustarde	Excellente moustarde	Excellent mustard									Excellente moustarde;pain;larde de girofle;Canelle;bon vin;estamine;graine de moustarde		moustarde;girofle;Canelle					four;estamine		
048r	p048r_4	Garder oiseaulx et animaulx	Garder oiseaulx et animaulx	Keeping birds and animals					oiseaulx				toille;cotton;peau;toile;sel armoniac;							toille;moule faict de toile;four		
048v	p048v_1	Extraction de regulus	Extraction de regulus	Extraction of regulus						dos			regulus;antimoyne;savon noer;tartre de montpellier;boys;fer;savon;antimoine;salpestre;tartre pulverise	lb;demy lb;tiers;aultant dun que daultre		montpellier				pot de terre verny;broche de boys ou de fer;carreau;quarreau en platte;pot;crusol		
048v	p048v_2	Plomb Estaim	Plomb, estaim	Lead, tin									Plomb;Estaim;estaim;plomb;antimoyne;estain de glace;estaim fin;estaim de glace;estain fin;cuivre rouge & doulx de chauldron;letton;estaim fin & doulx;estaim aigre;pierre;cuivre;estaim doulx;axunge de verre;metaulx;eau;aigre;estain;mabre;quarreau;estaim commun	lb;quintal;quarts				pintiers		grille;moules de pierre;moule de cuivre;molle;mabre;quarreau		
049r	p049r_1	Gect de plomb	Gect de plomb	Casting of lead					huitre			eglises	plomb;estaim;pierre;estain;chandelle de rousine;antimoyne;estain de glace;plomb pur;cuivre;verre;rousine;souldure;fer;Coquille de fer huitre calcinee	lb;moictie;quart			Poncet	pintiers;vitriers		moulle;poincons;moulle de cuivre		
049r	p049r_2	Sable pour gect de plomb	Sable pour gect de plomb	Sand for casting of lead									plomb;Cendres de paille de seigle;glaire doeuf;cuivre;letton		seigle					tamisee		
049r	p049r_3	Aultre	Aultre	Another					seiche				Pierre ponce bruslee & calcinee;Os de seiche brusles & calcines;cendres de noyer ou de vigne;glaire doeuf	Aultant dun que daultre	noyer;vigne					tamisee		
049r	p049r_4	Pintiers	Pintiers	Pewterers									estaim fin;estaim de glace;estaim;estain;plomb;cuivre;pierre;terre;letton;chandelle de rousine;estain dou aigre	quintal;lb				Pintiers		moules destaim;moules de cuivre graves au burin ou en pierre ou en terre;burin;moules;moules destain		
049v	p049v_1	Oyseaulx	Oyseaulx	Birds					Oyseaulx;calendres;oiseaulx;calendre					devant la sainct Michel			sainct Michel			espingle;plume bien poinctue		
049v	p049v_2	Graine de plomb	Graine de plomb	Grain of lead						doigts			plomb;eau	doigts;pas						carte;espingle;esguille;baston fendu;baston;plat;vaisseau;tamis		
049v	p049v_3	Oyseaulx	Oyseaulx	Birds					Oyseaulx;benarris;tourterelles;tarins;benarrins			montaignes		apres la my Juillet jusques a la sainct Michel;despuys la toussaints jusques a Noël	avoyne;mil		sainct Michel					
050r	p050r_1	Garder fruict tout lan	Garder fruict tout l’an	Keeping fruit for the entire year						main		dans une chambre ou il ny aye aulcune goutte dair & de vent;chambre bien close ou il ny entre point de vent ne dair;dans une cave;puys profond;cave	verre;eau chaulde;eau;cire noeufve;toile enciree;fruit;chaulx vive;huile;eau de la pone;eau de riviere	espace de deux heures	cerises;prunes					ampoule de verre;table & bien unie;ampoulle;bouteille;tapon;bouteilles;pone pleine deau;panier		
050r	p050r_2	Mouler	Mouler	Molding									papier;huile;suif;cire;soufre;plastre;tripoly;plomb;metal;carton;papier colle							papier;medaille;baston;pinceau;carton;papier colle		
050v	p050v_1	Oysillons	Oysillons	Small birds					Oysillons;benarris;pincons;chardonnerets;passe solitaire;iraigne;calandre;oisillons;coquu;verdaule;oiseau;linotte			au serain;jardins	iraigne;mortier sec;chaulx;amendes;mie;fort petit de mie de pain;graine de lettue;graine de chenevi;navette	une fois la sepmaine	lettue;laictues grainees;chenevi;amendes;navette					gluons;cages;piler		
050v	p050v_2	Acier corroye et limes	Acier corroyé et limes	Curried steel and files								forges de foix;mine	Acier;acier;fer;fer fondu;barres de fer;fer commun;fer fort;acier purifie;eau;acier fin;le plus fin acier;fer fort doulx;bitum	petites billes		allemaigne;biscaye;foix;allemans;levantins		mareschaulx;ouvriers de fer;ouvriers		limes;pot		
051r	p051r_1	Contretirer	Contretirer	Making counterproofs									eau de savon;papier blanc;verre;huiles;papier;huile daspic & ou de tourmentine;huile;eau bien gommee;eau gommee;savon		aspic					dent;cul de verre;pinceau;plume;brunissouer		
051r	p051r_2	Tailleurs en planches	Tailleurs en planches	Cutters of printing plates			continued						cuivre;bonne lessive;buee;ancre;huile de lin;huile de noix;boys;bois;papier;verres;cartons;pastes;lexive	bonnes heures	lin;noix			Tailleurs en planches		planches;planches de cuivre;rouleaus;planches de boys;planche de boys;mouchouer mouille;linge;pot		
051v	p051r_2							continues		bout du doigt;main nue		lieu descouvert;lieu ou la flamme ne puisse porter domaige	huile de noix;huile de lin;aulx;croustes de pain;noir de lampe;huile;marbre;ancre;papier blanc;papier;linge;vernis;tartre;huile de lin non bouilly;noir;fumee de lampe;noir mediocrement espes;lessive;feultre;foeille;foeultre;urine	partye	noix;lin;aulx			imprimeurs		marbre;planche;planches;foeille de papier blanc;papier;linge;bout du doigt;papier blanc;petite table unye;piece de feultre;foeilles de papier;servietes mouillees;foeultre;rolleaulx;rouleaux		
052r	p052r_1	Oeuvre faicte en Argel	Oeuvre faicte en Argel	The Work done in Algiers			continued		poulain;chevaulx;vers;serpent				segle;orge;paille;eau;sulphures;senegre;fient;urine;verre;terre;oeufs de poule;jaulne;glaire;(germe);jaulnes;jaulnes doeufs;oeufs;graine de vers de soye femelle;fiens;jaulne doeuf;or;charbon			Argel;espaigne;argel		ouvrier				
052v	p052r_1							continues					vinaigre;soye;miel									
052v	p052v_1	Lin	Lin	Linseed											Lin							
052v	p052v_2	Couleurs	Couleurs	Colors									gomme;vin blanc;gomme dragant;dragant;sel blanc;eau claire					denlumineure		bouteille;bouche		
053r	p053r_1	Soulder un estoc	Soulder un estoc	Soldering a vise									Soulder;soulder;liste de fer							estoc;ancrou;vis;marteau		
053r	p053r_2	Cuivre	Cuivre	Copper									Cuivre;fer									
053r	p053r_3	Gect de plomb	Gect de plomb	Casting of lead					seiche				plomb;estain;sublime;os de seiche	moictie						os de seiche		
053r	p053r_4	Mouler de papier	Mouler de papier	Molding of Paper									papier;cendres;cotton;eau fort;sel ammoniac;eau regale;eau gommee									
053r	p053r_5	Amendiers abricots	Amendiers, abricots	Almond trees, apricots											Amendiers;abricots;pavis;mericotons;alberges;amendier							
053r	p053r_6	Gect de plomb et cuivre	Gect de plomb et cuivre	Lasting of lead and copper					cheval;boeufs;mouton				plomb;cuivre;estaim;croye blanche;os de cheval brusles & calcines;moele des cornes des boeufs;mouton;os spongieulx;os;metal aigre vient mieulx que le gras;sable maigre le recoit mieulx & le suppe que le dense			champaigne;lyon						
053v	p053v_1	Vers de soye	Vers de soye	Silkworms			continued		Vers de soye;vers;formis noires;bombicum	main	s	chambre acommodee de trois ou 4 estages de tables larges;tonnerre ou temps pluvieulx couvert & frais;chambre;temps se porte chault & serain	soye;foeilles de moeurier blanc;foeilles fresches;encens;fumee;eau chaulde	once;lb;onces;fois le jour;jours	sapin;moeurier blanc;brande;bruyere	languedoc;espaigne;France;Albensis;cremonensis	Hieronymus Vida Albensis episcopus de b cremonensis	marchans		boite de sapin;coissins de plume;tables;rechauls & avecq charbon allume;eau chaulde;main		
054r	p053v_1							continues	pigeon;vers;ver;papillon	ongle;doigt annulaire			filoselle;floret;soye	grandeur dun oeuf de pigeon;sepmaines;de la moictie;long comme le doigt annulaire;court de la moictie;jusques a la sepmaine saincte	brandes		saint Jehan			tables haultes;ongle;linge blanc		
054v	p054v_1					CONTAINS FIGURE														tine;bastons;crible faict de fisselles;vaisseaulx;rechault;linceulx		
054v	p054v_2	Pour fayre suivre un cheval	Pour fayre suivre un cheval	For making a horse to follow		CONTAINS FIGURE			cheval				pain sucre									
054v	p054v_3	Chiens	Chiens	Dogs					Chiens				pelottes de gemme;pelottes					cordonniers				
054v	p054v_4	Pour desguiser un cheval	Pour desguiser un cheval	For disguising a horse					cheval				paille allumee							paille allumee		
054v	p054v_5	Bottes de foin	Bottes de foin	Boots of hay						jambes		pluye	foin;foing									
055r	p055r_1	Pour tirer dun schioppo senza rumore	Pour tirer d’un schioppo senza rumore	To shoot a gun without noise									suin;porceau									
055r	p055r_2	Pour tremper bale qui faulcera et sera de difficile guarison	Pour tremper bale qui faulcera et sera de difficile guarison	For tempering a ball that will pierce far away and will make healing difficult									suin;vinaigre									
055r	p055r_3	Contre playes	Contre playes	Against wounds					poulet;chien				suc;herbe pillee qui sappelle semperviva;vermicularis		semperviva;vermicularis							
055r	p055r_4	Onenev elbirro tnaut is no ehcram rus enu elbat uo ueirse ueirtse	Onenev elbirro tnaut is no ehcram rus enu elbat uo ueirse ueirtse	Onenev elbirro hcihw sllik fi eno spets no a draob ro a purrits			continued		escargots;cheval			au soleil bien fort & au serain	verre;jaulne doeufs;bon vinaigre;fiens de cheval;jaulnes doeufs	moys;espace de quinze jours						bouteille de verre;bouteille		
p055v	p055r_4							continues				riviere;abre ou herbe qui soict au bort		espace de quinze jours						long baston		
p055v	p055v_1	Aultre pour les eaulx	Aultre pour les eaulx	Another for waters					Tuaparc				eaulx;chaulx vive							top		
p055v	p055v_2	Acier de damas	Acier de damas	Damascus steel					lumbris				Acier de damas;lumbris;foeille de reforts;eaulx	aultant dune que daultre	reforts							
p055v	p055v_3	Pour cognoistre le chemin quon faict en plaine mer	Pour cognoistre le chemin qu'on faict en plaine mer	For knowing the course one takes on the open sea								en plaine mer;eau	ferlin;huile;eau	lieux								
p055v	p055v_4	Pour gect	Pour gect	For casting								pierrerer	croye;plomb;ponce;eau;estain	pars						tamis		
056r	p056r_1	Trempe excellente pour corps de cuirasse	Trempe excellente pour corps de cuirasse	Excellent tempering bath for the body of cuirasses					pigeon;cheval			riviere	eau de riviere;gaulde;eau;sel;terre grasse rouge;fiente de pigeon;terre;fiante de cheval;limaille de fer	picotins;grand chaulderon de ladicte eau de riviere;joinctees;aultant de fiente de pigeon que de ladicte terre;aultant de fiante de cheval;aultant de limaille de fer;jours	gaulde					baston;muy;vaisseau;grand chaulderon;chaulderon		
056r	p056r_2	Vernis pour destrempe	Vernis pour destrempe	Varnish for distemper									Vernis;destrempe;mabre;laque;rose de gand;croye;vin;colle;vernis;tourmentine claire de venise;huile daspic;vernis de tourmentine;vernis pur daspic		aspic	gand						
056v	p056v_1	Painctre	Painctre	Painter			continued					boutique	laque;floree;rosette de gand;mabre;croye;huile;ceruse;blanc de plomb;eau;azur desmail;yvoire;noeuds de sapin;poirier;noyer;boys;bois;scudegrun;azur;destrempe;toile		sapin;poirier;noyer	gand;Italiens;flaments		Celuy qui faict profession de travailler a huile		mabre;costeau;palettes;plume;pinceau		
057r	p056v_1							continues					laque;huile;verre;cristallin;eau;blanc de plomb;lame de plomb;fumier;vernis blanc de tourmentine ou dhuille daspic et de tourmentine;tourmentine;huille daspic;terra emerita;argent;aloe;lacque;salive;encre dimprimeur;velours;or de feuille;pouldre dor;vermillon;mabres;cendre commune;boys;croye;cerusse;toile;cendre;mie de gros pain;mabre		aspic	florence		imprimeur		mabres;vaisseau;pinceaulx;costeau;mabre		
057v	p057v_1	Gainier	Gainier	Sheath-maker					daigneaulx;chevreaulx			lieux humides	petites peaulx daigneaulx et chevreaulx fort deliees;parchemin;terre grasse fine;terre;cuyr;noir de couperose;estaille de fer;taincture;cuir;colle;toille;colle forte;fer	grosseur dun poix	poix			Gainier;Gainiers;taneurs		petite tablette unye;presse;fer chault		
057v	p057v_2	Painctre	Painctre	Painter			continued					temps humide	Croons;colle;laict de femme;carton;rousine fondue fort delayee et claire;cuyvre;huille;blanc de plomb;ceruse;huille de noix;huille damendes;peau des noix		noix;amendes	venise;flamens		Painctre		Croons		
058r	p057v_2							continues		joues;joue			huille;blanc de plomb;ceruse;laque de florence;laque;purpurin;alum;cotton;toile de cambray;cristallin;eau;huile;aspalthe;huile daspic;huile de noix;verd de gris;orpiment;urine		cotton;aspic;noix	florence;flandres;cambray				cotton;toile de cambray		
058v	p058v_1	Noirs	Noirs	Blacks					bœufs				noir de charbon de mine;charbon commun;ivoyre brusle;noyaux de pesches;fumee de lampe;os de pied de bœufs brusles		pesches							
058v	p058v_2	Ombres	Ombres	Shadows																		
058v	p058v_3	A fresc	A fresc	In fresco									azur;boys							longs pinceaux		
058v	p058v_4	Azur	Azur	Azure							sols		Azur;huile de tourmentine;huile de grene de palma christi;huile de noix;azur;huile gras;azur desmail;eau;huile	pinte	noix	flandres						
058v	p058v_5	Pinceaulx	Pinceaulx	Pinceaulx			continued		porc espic;gris;rats;rats lirons;fouines;bellettes	main			huile daspic;huile de noix;aspic;eau;plumes de porc espic;boys de flesches de turquie;boys;poil de queue de gris;barbes des plus vieulx rats;plume;poils;barbe des fouines & bellettes & petits animaulx qui font le musc;musc;poil		aspic;noix	turquie				Pinceaulx;manche des pinceaulx;vergettes pour sapuyer la main quand ilz paignent;pinceaulx fort delies qui ayent la poincte ferme;pinceau;plume		
059r	p058v_5							continues					laque;blanc de plomb;ceruse;huile;azur;cendre;azur dacre;azur desmail;tourmentine;huile de noix		noix	acre				pinceau;pallete;poincte dun costeau		
059r	p059r_1	Ombres	Ombres	Shadows		CONTAINS FIGURE							vernis			italiens						
059r	p059r_2	Azur	Azur	Azure									Azur;asur;huile de noix;huile daspic;azur desmail;huile;eau		noix;aspic					pinceau		
059v	p059v_1	NoirPaincture darmes	NoirPaincture d'armes	BlackPainting of armory									noir de charbon;blanc de plomb;azur									
059v	p059v_2	Paincture de crespe	Paincture de crespe	Painting of crêpe									crespe;noir de charbon;blanc de plomb;asur									
059v	p059v_3	Plis de vestements	Plis de vestements	Folds in clothing									gros drap;taffetas;draps de soye;crespe									
059v	p059v_4	Desiccatif	Desiccatif	Desiccative									blanc de plomb;massicot;huile	jours;jour								
059v	p059v_5	Double couche	Double couche	Double layers									azurs									
059v	p059v_6	Racoustrer les fentes dun tableau	Racoustrer les fentes d'un tableau	Mending the cracks in a panel			continued					en temps humide;au soleil	coller;colle;huile;cire blanche;cire							poincte dun costeau		
060r	p059v_6							continues					huile;cire									
060r	p060r_1	Blanchiment premier dun tableau	Blanchiment premier dun tableau	First whitening of a panel									croye;colle de destrempe;colle			flamens		painctres		pinceau;broisse;cousteau		
060r	p060r_2	Labeur net	Labeur net	Neat work																		
060r	p060r_3	@Huile	@ Huile	Oil								expose au soleil	@Huile;huile de noix;amendes pelees;palma christi;huile;huile gras;vernis;vernis commun;huiles;ceruse;plomb lime;blanc de plomb;verre p calcine pulverise;eau claire		noix;amendes					phiole		
060v	p060v_1	Vernis sec en une heure	Vernis sec en une heure	Varnish dry in an hour		CONTAINS FIGURE						au vent	Vernis;huile @ de tourmentine blanc;termentine;mastic pulverise & passe subtillement par un tamis;eau de vye;mastic;tourmentine;huile blanc de tourmentine;mastic pulverise	heure;liards						tamis;baston;costeau		
060v	p060v_2	@ Laver les tableaulx	@ Laver les tableaulx	Cleaning panels									eau de savon;urine;vin blanc									
060v	p060v_3	@ Huile daspic	@ Huile d'aspic	Spike lavender oil	left-middle								@ Huile daspic;huile;huile sur le daspic;boys		aspic			painctres		pinceaulx a huile		
060v	p060v_4	@ Couleur de bois	@ Couleur de bois	Wood color									bois;bistre;vernis									
060v	p060v_5	Labeur des flamens	Labeur des Flamens	Work of the Flemish			continued						huile;poil			flamens		enlumineurs		poincte du pinceau;pinceau		
061r	p060v_4							continues														
061r	p061r_1	Carnations	Carnations	Flesh colors									blanc de plomb;laque de florence;rose alexandrine;incarnadine;minium;massicot;cendres			florence						
061r	p061r_2	Arrondir	@ Arrondir	Rounding off																poincte du pinceau & le reste de plat;poincte du pinceau sec & aplati		
061r	p061r_3	Blanc de plomb	Blanc de plomb	Lead white									Blanc de plomb;ceruse									
061r	p061r_4	Jours	Jours	Lights		CONTAINS FIGURE				derriere de ta main		jour								pinceau		
061v	p061v_1	Eau pour donner jour au painctre	Eau pour donner jour au painctre	Water to give light for the painter									Eau;eau de vigne					painctre		bouteille;chandelle		
061v	p061v_2	Chassis des allemans	Chassis des Allemans	German chassis					rat				verre;toile;vernis clair de tourmentine;huile de tourmentine;tourmentine;poils de barbe de rat	moictie;presque moictie		allemans				pinceaulx composes de deulx ou trois poils de barbe de rat		
061v	p061v_3	Azur desmail a huile	Azur d'esmail à huile	Azur d’esmail in oil									Azur desmail;huile;eau;tourmentine;beurre;mortier;ceruse;azur							pallete;asses gros pinceau;pinceau;poincte du pinceau		
061v	p061v_4	Broyer couleurs	Broyer couleurs	Grinding colors						poulce			mabre;verre;laque	espoisse dun verre poulce								
062r	p062r_1	Perspectives	Perspectives	Perspectives									huile;destrempe							reigle		
062r	p062r_2	Ocre	Ocre	Ochre									Ocre									
062r	p062r_3	Hommes et animaulx esloignes	Hommes et animaulx esloignés	Distant people and animals									cendre dazur;laque									
062r	p062r_4	Pourtraire	Pourtraire	Drawing									charbon;gomme;destrempe					maistres;aprantis;artiste		costeau;charbon;pinceau		
062v	p062v_1	Portraire	Portraire	Drawing						oeil			cendre;eau					artiste;maistres;aprentis		oeil;compas;regle		
062v	p062v_2	Perspective	Perspective	Perspective		CONTAINS FIGURE				oeil			huile;plomb;fil;filet							regle;regles;poincte dune aultre regle;vis;compas;jugement de loeil;lignes a plomb;fil;crochet;filet		
062v	p062v_3	Tableau	Tableau	Panel									huile							chevalet		
063r	p063r_1	Couleur damaranthe	Couleur d'amaranthe	Amaranth color									vin blanc;fleur seiche;vin;eau de vye		amaranthe							
063r	p063r_2	Desiccation dhuile	Desiccation d'huile	Drying of oil									huile;massicot;minium;huile que de noix		noix							
063r	p063r_3	Gect	Gect	Casting								mine	plomb de flandres;mine de plomb;crasse;mine;plomb;fer;cuivre			allemans;flandres				vaisseau;formes de fer & de cuivre;creusol		
063r	p063r_4	Umbres	Umbres	Shadows									geyct;scudegrun;ocre			allemans		painctres				
063r	p063r_5	Bistre	Bistre	Bistre									Bistre;destrempe;boys									
063r	p063r_6	Verdegris et aultre tresbeau vert gay	Verdegris et aultre tres beau vert gay	Verdigris and another very beautiful bright green									Verdegris;eau;destrempe;vinaigre;urine;huile;mabre;Scudegrun							pallete;mabre		
063v	p063v_1	Velours @et noirs	Velours et noirs	Velvets and blacks									Velours;velours;os de peche;laque;charbon de pierre;charbon commun		peche							
063v	p063v_2	Armes	Armes	Armory									charbon de bois dous									
063v	p063v_3	Scudegrun	Scudegrun	Stil de grain yellow									Scudegrun;fleur de genest;eau;alum;ceruse		fleur de genest							
063v	p063v_4	Rosette	Rosette	Red copper									Rosette;croye;ceruse;taincture de bresil		bresil							
063v	p063v_5	Pers de flendres	Pers de Flendres	Flanders blue					vache;cheval				fiente de vache;fient de cheval;floree			flendres						
063v	p063v_6	Paysages de neiges	Paysages de neiges	Snow-covered landscapes									bistre									
063v	p063v_7	Adoulcir	Adoulcir	Softening									mine									
064r	p064r_1	Nettement travailler	Nettement travailler	Working neatly																		
064r	p064r_2	Huile gras	Huile gras	Fatty oil									Huile gras;azur desmail;plus cler huile de noix		noix							
064r	p064r_3	Vermeillon	Vermeillon	Vermilion									Vermeillon;eau;huile;vermeillon;laque;minium;cristallin calcine									
