21 lb,,1 ill,,1 ill
42 m,,21 lb,,42 m
2 ms,,42 m,,2 ms
1 pro,,2 ms,,1 pro
1 root,,1 pro,,1 root
2 sn,,1 root,,2 sn
8 tl,,2 sn,,8 tl
,,8 tl,,
ms-xml/tc/tc_p009r_preTEI.xml,,ms-xml/tcn/tcn_p009r_preTEI.xml,,ms-xml/tl/tl_p009r_preTEI.xml
3 ab,,3 ab,,3 ab
5 del,,1 comment,,2 comment
3 div,,5 del,,5 del
2 env,,3 div,,3 div
3 exp,,2 env,,2 env
3 head,,3 exp,,5 fr
24 lb,,3 head,,3 head
1 oc,,24 lb,,1 m
9 pa,,1 oc,,1 oc
2 pl,,9 pa,,8 pa
5 pro,,2 pl,,2 pl
1 root,,5 pro,,5 pro
2 tl,,1 root,,1 root
4 tmp,,2 tl,,2 tl
,,4 tmp,,4 tmp
ms-xml/tc/tc_p009v_preTEI.xml,,ms-xml/tcn/tcn_p009v_preTEI.xml,,ms-xml/tl/tl_p009v_preTEI.xml
7 ab,,7 ab,,7 ab
5 cn,,5 cn,,5 cn
2 comment,,2 comment,,3 comment
1 del,,1 corr,,1 corr
3 div,,1 del,,1 del
8 exp,,3 div,,3 div
3 head,,8 exp,,6 fr
26 lb,,3 head,,3 head
14 m,,26 lb,,13 m
2 mark,,13 m,,2 mark
7 ms,,2 mark,,7 ms
2 oc,,7 ms,,2 oc
5 pn,,2 oc,,5 pn
3 pro,,5 pn,,3 pro
1 root,,3 pro,,1 root
3 superscript,,1 root,,2 tl
2 tl,,3 superscript,,5 tmp
5 tmp,,2 tl,,
,,5 tmp,,
ms-xml/tc/tc_p010r_preTEI.xml,,ms-xml/tcn/tcn_p010r_preTEI.xml,,ms-xml/tl/tl_p010r_preTEI.xml
8 ab,,8 ab,,8 ab
3 add,,3 add,,3 add
3 del,,3 del,,1 comment
5 div,,5 div,,3 del
4 exp,,4 exp,,5 div
5 head,,5 head,,2 fr
1 ill,,1 ill,,5 head
63 lb,,63 lb,,1 ill
55 m,,55 m,,55 m
2 ms,,2 ms,,2 ms
4 pa,,4 pa,,4 pa
1 pl,,1 pl,,1 pl
1 pro,,1 pro,,2 pro
